Content,EventTemplate,Dataset,Category,New_LLAMA_FT_HPC_1,Inference_time_1
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1788506507873535
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,1.1104860305786133
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1764447689056396
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1686668395996094
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1597330570220947
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1748931407928467
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1774723529815674
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1695618629455566
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1618752479553223
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1654982566833496
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,1.1073198318481445
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1663098335266113
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,clusterAddMember  (command <*>),0.6136379241943359
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,clusterAddMember  (command <*>),0.6161415576934814
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot <*> (command <*>),0.5623433589935303
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix  (command <*>),0.7378263473510742
boot  (command 1911),boot (command <*>),HPC,New,boot  (command <*>),0.49620985984802246
boot  (command 1910),boot (command <*>),HPC,New,boot  (command <*>),0.4918642044067383
boot  (command 1978),boot (command <*>),HPC,New,boot  (command <*>),0.5001723766326904
boot  (command 1967),boot (command <*>),HPC,New,boot  (command <*>),0.49163126945495605
wait  (command 1975),wait (command <*>),HPC,New,wait  (command <*>),0.5310192108154297
boot  (command 1999),boot (command <*>),HPC,New,boot  (command <*>),0.49424099922180176
halt  (command 1982),halt (command <*>),HPC,New,halt  (command <*>),0.4951059818267822
boot  (command 1981),boot (command <*>),HPC,New,boot  (command <*>),0.49424099922180176
boot  (command 1973),boot (command <*>),HPC,New,boot  (command <*>),0.4967184066772461
wait  (command 1973),wait (command <*>),HPC,New,wait  (command <*>),0.4921092987060547
wait  (command 2057),wait (command <*>),HPC,New,wait  (command <*>),0.49289941787719727
boot  (command 2152),boot (command <*>),HPC,New,boot  (command <*>),0.4894721508026123
wait  (command 2154),wait (command <*>),HPC,New,wait  (command <*>),0.49619412422180176
boot  (command 2141),boot (command <*>),HPC,New,boot  (command <*>),0.4915585517883301
boot  (command 2110),boot (command <*>),HPC,New,boot  (command <*>),0.4956328868865967
boot  (command 2160),boot (command <*>),HPC,New,boot  (command <*>),0.49214887619018555
halt  (command 2221),halt (command <*>),HPC,New,halt  (command <*>),0.4965813159942627
wait  (command 2217),wait (command <*>),HPC,New,,0.4893968105316162
wait  (command 2217),wait (command <*>),HPC,New,wait  (command <*>,0.43265223503112793
wait  (command 2201),wait (command <*>),HPC,New,wait  (command <*>,0.42995166778564453
wait  (command 2199),wait (command <*>),HPC,New,wait  (command <*>),0.49207544326782227
boot  (command 2183),boot (command <*>),HPC,New,boot  (command <*>),0.49171996116638184
wait  (command 2189),wait (command <*>),HPC,New,,0.49151611328125
wait  (command 2302),wait (command <*>),HPC,New,wait  (command <*>,0.4351160526275635
wait  (command 2270),wait (command <*>),HPC,New,wait  (command <*>,0.4314687252044678
wait  (command 2257),wait (command <*>),HPC,New,,0.4890909194946289
boot  (command 2257),boot (command <*>),HPC,New,boot  (command <*>),0.5040426254272461
boot  (command 2316),boot (command <*>),HPC,New,boot  (command <*>),0.4970085620880127
boot  (command 2316),boot (command <*>),HPC,New,boot  (command <*>),0.5016610622406006
wait  (command 2322),wait (command <*>),HPC,New,wait  (command <*>),0.49568819999694824
wait  (command 2354),wait (command <*>),HPC,New,wait  (command <*>,0.433943510055542
wait  (command 2347),wait (command <*>),HPC,New,wait  (command <*>,0.431304931640625
boot  (command 2368),boot (command <*>),HPC,New,boot  (command <*>),0.4918556213378906
boot  (command 2392),boot (command <*>),HPC,New,boot  (command <*>,0.43572020530700684
boot  (command 2406),boot (command <*>),HPC,New,boot  (command <*>,0.4378349781036377
boot  (command 2417),boot (command <*>),HPC,New,boot  (command <*>),0.492919921875
boot  (command 2423),boot (command <*>),HPC,New,boot  (command <*>,0.4308297634124756
wait  (command 2424),wait (command <*>),HPC,New,wait  (command <*>,0.4325728416442871
wait  (command 2449),wait (command <*>),HPC,New,wait  (command <*>),0.49047279357910156
boot  (command 2464),boot (command <*>),HPC,New,boot  (command <*>),0.49076342582702637
wait  (command 2468),wait (command <*>),HPC,New,wait  (command <*>,0.4283926486968994
boot  (command 2520),boot (command <*>),HPC,New,boot  (command <*>),0.49393129348754883
wait  (command 2517),wait (command <*>),HPC,New,wait  (command <*>),0.4927711486816406
boot  (command 2517),boot (command <*>),HPC,New,boot  (command <*>),0.4918229579925537
wait  (command 2511),wait (command <*>),HPC,New,wait  (command <*>),0.496173620223999
wait  (command 2513),wait (command <*>),HPC,New,wait  (command <*>),0.502476692199707
boot  (command 2514),boot (command <*>),HPC,New,boot  (command <*>),0.5101010799407959
wait  (command 2484),wait (command <*>),HPC,New,wait  (command <*>,0.4402322769165039
