Content,EventTemplate,Dataset,Category,Unseen_LLAMA_FT_BGL_1,Inference_time_1
generating core.2275,generating core.<*>,BGL,Unseen,generating core.<*>,3.833054304122925
generating core.862,generating core.<*>,BGL,Unseen,generating core.<*>,0.43976521492004395
generating core.728,generating core.<*>,BGL,Unseen,generating core.<*>,0.4396946430206299
generating core.775,generating core.<*>,BGL,Unseen,generating core.<*>,0.43444299697875977
generating core.3276,generating core.<*>,BGL,Unseen,generating core.<*>,0.4431920051574707
generating core.1717,generating core.<*>,BGL,Unseen,generating core.<*>,0.4344513416290283
generating core.3919,generating core.<*>,BGL,Unseen,generating core.<*>,0.4871864318847656
generating core.2079,generating core.<*>,BGL,Unseen,generating core.<*>,0.4721198081970215
generating core.1414,generating core.<*>,BGL,Unseen,generating core.<*>,0.4380161762237549
generating core.3055,generating core.<*>,BGL,Unseen,generating core.<*>,0.4367940425872803
generating core.201,generating core.<*>,BGL,Unseen,generating core.<*>,0.4361708164215088
generating core.1125,generating core.<*>,BGL,Unseen,generating core.<*>,0.4371013641357422
generating core.412,generating core.<*>,BGL,Unseen,generating core.<*>,0.4356114864349365
generating core.7828,generating core.<*>,BGL,Unseen,generating core.<*>,0.4322240352630615
generating core.5570,generating core.<*>,BGL,Unseen,generating core.<*>,0.4342012405395508
generating core.8275,generating core.<*>,BGL,Unseen,generating core.<*>,0.434523344039917
generating core.4183,generating core.<*>,BGL,Unseen,generating core.<*>,0.4335501194000244
generating core.6545,generating core.<*>,BGL,Unseen,generating core.<*>,0.43643689155578613
generating core.4245,generating core.<*>,BGL,Unseen,generating core.<*>,0.4367814064025879
generating core.6884,generating core.<*>,BGL,Unseen,generating core.<*>,0.4420006275177002
generating core.6471,generating core.<*>,BGL,Unseen,generating core.<*>,0.4397432804107666
generating core.4155,generating core.<*>,BGL,Unseen,generating core.<*>,0.44236135482788086
generating core.449,generating core.<*>,BGL,Unseen,generating core.<*>,0.43782567977905273
generating core.6990,generating core.<*>,BGL,Unseen,generating core.<*>,0.43654632568359375
generating core.4876,generating core.<*>,BGL,Unseen,generating core.<*>,0.4363994598388672
generating core.2218,generating core.<*>,BGL,Unseen,generating core.<*>,0.4433574676513672
generating core.7518,generating core.<*>,BGL,Unseen,generating core.<*>,0.4382293224334717
generating core.5854,generating core.<*>,BGL,Unseen,generating core.<*>,0.4349706172943115
generating core.7457,generating core.<*>,BGL,Unseen,generating core.<*>,0.4356987476348877
generating core.6896,generating core.<*>,BGL,Unseen,generating core.<*>,0.4363281726837158
generating core.3488,generating core.<*>,BGL,Unseen,generating core.<*>,0.4532124996185303
generating core.1172,generating core.<*>,BGL,Unseen,generating core.<*>,0.44271230697631836
generating core.2286,generating core.<*>,BGL,Unseen,generating core.<*>,0.4563570022583008
generating core.786,generating core.<*>,BGL,Unseen,generating core.<*>,0.4476749897003174
generating core.2680,generating core.<*>,BGL,Unseen,generating core.<*>,0.44130969047546387
generating core.1524,generating core.<*>,BGL,Unseen,generating core.<*>,0.44377636909484863
generating core.4937,generating core.<*>,BGL,Unseen,generating core.<*>,0.4372580051422119
generating core.6801,generating core.<*>,BGL,Unseen,generating core.<*>,0.44196057319641113
generating core.4368,generating core.<*>,BGL,Unseen,generating core.<*>,0.44638848304748535
generating core.851,generating core.<*>,BGL,Unseen,generating core.<*>,0.4414026737213135
generating core.1744,generating core.<*>,BGL,Unseen,generating core.<*>,0.43453550338745117
generating core.1588,generating core.<*>,BGL,Unseen,generating core.<*>,0.44107651710510254
generating core.5307,generating core.<*>,BGL,Unseen,generating core.<*>,0.43446779251098633
generating core.7192,generating core.<*>,BGL,Unseen,generating core.<*>,0.45101189613342285
generating core.430,generating core.<*>,BGL,Unseen,generating core.<*>,0.4425621032714844
generating core.174,generating core.<*>,BGL,Unseen,generating core.<*>,0.4463772773742676
generating core.976,generating core.<*>,BGL,Unseen,generating core.<*>,0.43834519386291504
generating core.1990,generating core.<*>,BGL,Unseen,generating core.<*>,0.4420759677886963
generating core.3638,generating core.<*>,BGL,Unseen,generating core.<*>,0.43779468536376953
generating core.2690,generating core.<*>,BGL,Unseen,generating core.<*>,0.43526244163513184
generating core.3804,generating core.<*>,BGL,Unseen,generating core.<*>,0.4362308979034424
generating core.418,generating core.<*>,BGL,Unseen,generating core.<*>,0.4348595142364502
generating core.310,generating core.<*>,BGL,Unseen,generating core.<*>,0.4385228157043457
generating core.2409,generating core.<*>,BGL,Unseen,generating core.<*>,0.43613481521606445
generating core.4182,generating core.<*>,BGL,Unseen,generating core.<*>,0.4349062442779541
generating core.8153,generating core.<*>,BGL,Unseen,generating core.<*>,0.436312198638916
generating core.7836,generating core.<*>,BGL,Unseen,generating core.<*>,0.4626119136810303
