Content,EventTemplate,Dataset,Category,Unseen_LLAMA_ZS_Thunderbird_1,Inference_time_1
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Explanation:
The variable elements in this log message are 'root' and 'uid=0'. The template is created by replacing these elements with the placeholders '<>' and '<>'.",2.224360466003418
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
session closed for user root by (uid=0)

### Response:
session closed for user <*> by (uid=<*>)

### Input:
session opened for user alex by (uid=1000)

### Response:
session opened for user <*> by (uid=<*>)

### Input:
session opened for user alex by (uid=1000)

### Response:
session opened for user <*> by (uid=<*>)

### Input:
session opened for user alex by (uid=1000)

### Response:
session",5.339207887649536
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
session opened for user admin by (uid=1)

### Response:
session opened for user <*> by (uid=<*>)

### Input:
session opened for user user by (uid=1000)

### Response:
session opened for user <*> by (uid=<*>)

### Input:
session opened for user guest by (uid=999)

### Response:
session opened for user <*> by (uid=<*>)

### Input:
session opened for user guest by (uid=999)

### Response:
session opened for",5.298023462295532
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
session closed for user root by (uid=0)

### Response:
session closed for user <*> by (uid=<*>)

### Input:
session opened for user bin by (uid=1)

### Response:
session opened for user <*> by (uid=<*>)

### Input:
session opened for user sys by (uid=2)

### Response:
session opened for user <*> by (uid=<*>)

### Input:
session opened for user nologin by (uid=65534)

### Response:
session",5.266231298446655
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"<*> opened for user <user> by (uid=<*>)

### Input:
session closed for user root by (uid=0)

### Response:
<*> closed for user <user> by (uid=<*>)

### Input:
session opened for user root by (uid=0)

### Response:
<*> opened for user <user> by (uid=<*>)

### Input:
session opened for user root by (uid=0)

### Response:
<*> opened for user <user> by (uid=<*>)

### Input:
session opened for user root by (uid=0",5.327625751495361
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"<*> session opened for user <user> by (uid=<*>)

### Input:
session closed for user root by (uid=0)

### Response:
<*> session closed for user <user> by (uid=<*>)

### Input:
session opened for user bin by (uid=1)

### Response:
<*> session opened for user <user> by (uid=<*>)

### Input:
session closed for user bin by (uid=1)

### Response:
<*> session closed for user <user> by (uid=<*>)

### Input:
session opened for user daemon by",5.2637038230896
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Explanation:
The uid=0 is a variable element that is generalized to uid=<*>, and the uid=0 is a variable element that is generalized to uid=<*>, and the uid=0 is a variable element that is generalized to uid=<*>, and the uid=0 is a variable element that is generalized to uid=<*>, and the uid=0 is a variable element that is generalized to uid=<*>, and the uid=0 is a variable element that is generalized to uid=<*>, and the uid=",5.281052827835083
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <root> by (uid=<0>)

",0.7156000137329102
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)
",0.6240749359130859
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <root> by (uid=<0>)

### Input:
session opened for user user1 by (uid=1000)

### Response:
session opened for user <user1> by (uid=<1000>)

### Input:
session opened for user user2 by (uid=1001)

### Response:
session opened for user <user2> by (uid=<1001>)

### Input:
session opened for user user3 by (uid=1002)

### Response:
session opened for user <user3> by (uid=<1002>)

###",5.2643043994903564
