Content,EventTemplate,Dataset,Category,New_Mistral_2S_HDFS_3,Inference_time_3
PacketResponder 1 for block blk_38865049064139660 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder 1 for block blk_38865049064139660 terminating

### Input:
PacketResponder 1 for block blk_38865049064139660 terminating

### Response:
PacketResponder 1 for block blk_38865049064139660 terminating

### Input:
PacketResponder 1 for block blk_3",8.06356167793274
PacketResponder 0 for block blk_-6952295868487656571 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder 0 for block blk_-6952295868487656571 terminating

### Input:
PacketResponder 0 for block blk_-6952295868487656571 terminating

### Response:
PacketResponder 0 for block blk_-6952295868487656571 terminating

### Input:
PacketResponder 0",5.091160297393799
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: blockMap",5.08526086807251
PacketResponder 2 for block blk_8229193803249955061 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)

### Explanation:
The input log message is:
PacketResponder 2 for block blk_8229193803249955061 terminating

The extracted template is:
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <",5.203150987625122
PacketResponder 2 for block blk_-6670958622368987959 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)

### Explanation:
The log message contains the following variable elements:

- The IP addresses of the nodes involved in the packet exchange: <*> and <*>
- The port number of the node that sent the packet: <*>
- The message code: <*>
- The softheader: <*> <*> <*> <*>

The",5.081002950668335
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: blockMap",5.081659555435181
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: blockMap",5.127050876617432
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: blockMap updated",5.070066213607788
PacketResponder 2 for block blk_572492839287299681 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)

### Input:
PacketResponder 2 for block blk_572492839287299681 terminating

### Response:
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=",5.144434452056885
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Received block <*> of size <*> from <*>,HDFS,New,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",1.9930949211120605
