Content,EventTemplate,Dataset,Category,Unseen_Mistral_FT_BGL_4,Inference_time_4
generating core.2275,generating core.<*>,BGL,Unseen,generating core.<*>,0.4622635841369629
generating core.862,generating core.<*>,BGL,Unseen,generating core.<*>,0.45766735076904297
generating core.728,generating core.<*>,BGL,Unseen,generating core.<*>,0.4524648189544678
generating core.775,generating core.<*>,BGL,Unseen,generating core.<*>,0.4505455493927002
generating core.3276,generating core.<*>,BGL,Unseen,generating core.<*>,0.4594731330871582
generating core.1717,generating core.<*>,BGL,Unseen,generating core.<*>,0.4544370174407959
generating core.3919,generating core.<*>,BGL,Unseen,generating core.<*>,0.4518435001373291
generating core.2079,generating core.<*>,BGL,Unseen,generating core.<*>,0.4458315372467041
generating core.1414,generating core.<*>,BGL,Unseen,generating core.<*>,0.45011448860168457
generating core.3055,generating core.<*>,BGL,Unseen,generating core.<*>,0.45110177993774414
generating core.201,generating core.<*>,BGL,Unseen,generating core.<*>,0.4529428482055664
generating core.1125,generating core.<*>,BGL,Unseen,generating core.<*>,0.4479231834411621
generating core.412,generating core.<*>,BGL,Unseen,generating core.<*>,0.4455256462097168
generating core.7828,generating core.<*>,BGL,Unseen,generating core.<*>,0.4505784511566162
generating core.5570,generating core.<*>,BGL,Unseen,generating core.<*>,0.44433093070983887
generating core.8275,generating core.<*>,BGL,Unseen,generating core.<*>,0.4454538822174072
generating core.4183,generating core.<*>,BGL,Unseen,generating core.<*>,0.44647765159606934
generating core.6545,generating core.<*>,BGL,Unseen,generating core.<*>,0.447277307510376
generating core.4245,generating core.<*>,BGL,Unseen,generating core.<*>,0.4463210105895996
generating core.6884,generating core.<*>,BGL,Unseen,generating core.<*>,0.4435739517211914
generating core.6471,generating core.<*>,BGL,Unseen,generating core.<*>,0.44727039337158203
generating core.4155,generating core.<*>,BGL,Unseen,generating core.<*>,0.4545109272003174
generating core.449,generating core.<*>,BGL,Unseen,generating core.<*>,0.45078182220458984
generating core.6990,generating core.<*>,BGL,Unseen,generating core.<*>,0.45267367362976074
generating core.4876,generating core.<*>,BGL,Unseen,generating core.<*>,0.45303940773010254
generating core.2218,generating core.<*>,BGL,Unseen,generating core.<*>,0.4707016944885254
generating core.7518,generating core.<*>,BGL,Unseen,generating core.<*>,0.4594848155975342
generating core.5854,generating core.<*>,BGL,Unseen,generating core.<*>,0.4564855098724365
generating core.7457,generating core.<*>,BGL,Unseen,generating core.<*>,0.4520747661590576
generating core.6896,generating core.<*>,BGL,Unseen,generating core.<*>,0.45122241973876953
generating core.3488,generating core.<*>,BGL,Unseen,generating core.<*>,0.45609402656555176
generating core.1172,generating core.<*>,BGL,Unseen,generating core.<*>,0.4528200626373291
generating core.2286,generating core.<*>,BGL,Unseen,generating core.<*>,0.45813751220703125
generating core.786,generating core.<*>,BGL,Unseen,generating core.<*>,0.4641404151916504
generating core.2680,generating core.<*>,BGL,Unseen,generating core.<*>,0.4506723880767822
generating core.1524,generating core.<*>,BGL,Unseen,generating core.<*>,0.45491504669189453
generating core.4937,generating core.<*>,BGL,Unseen,generating core.<*>,0.4568593502044678
generating core.6801,generating core.<*>,BGL,Unseen,generating core.<*>,0.45343828201293945
generating core.4368,generating core.<*>,BGL,Unseen,generating core.<*>,0.4532139301300049
generating core.851,generating core.<*>,BGL,Unseen,generating core.<*>,0.44989895820617676
generating core.1744,generating core.<*>,BGL,Unseen,generating core.<*>,0.4529414176940918
generating core.1588,generating core.<*>,BGL,Unseen,generating core.<*>,0.45008111000061035
generating core.5307,generating core.<*>,BGL,Unseen,generating core.<*>,0.4509248733520508
generating core.7192,generating core.<*>,BGL,Unseen,generating core.<*>,0.4529120922088623
generating core.430,generating core.<*>,BGL,Unseen,generating core.<*>,0.451674222946167
generating core.174,generating core.<*>,BGL,Unseen,generating core.<*>,0.45510005950927734
generating core.976,generating core.<*>,BGL,Unseen,generating core.<*>,0.45926380157470703
generating core.1990,generating core.<*>,BGL,Unseen,generating core.<*>,0.4561796188354492
generating core.3638,generating core.<*>,BGL,Unseen,generating core.<*>,0.4513404369354248
generating core.2690,generating core.<*>,BGL,Unseen,generating core.<*>,0.4601600170135498
generating core.3804,generating core.<*>,BGL,Unseen,generating core.<*>,0.4537479877471924
generating core.418,generating core.<*>,BGL,Unseen,generating core.<*>,0.46126651763916016
generating core.310,generating core.<*>,BGL,Unseen,generating core.<*>,0.45996737480163574
generating core.2409,generating core.<*>,BGL,Unseen,generating core.<*>,0.45887279510498047
generating core.4182,generating core.<*>,BGL,Unseen,generating core.<*>,0.46186089515686035
generating core.8153,generating core.<*>,BGL,Unseen,generating core.<*>,0.4555342197418213
generating core.7836,generating core.<*>,BGL,Unseen,generating core.<*>,0.45915746688842773
generating core.2911,generating core.<*>,BGL,Unseen,generating core.<*>,0.45518922805786133
generating core.2921,generating core.<*>,BGL,Unseen,generating core.<*>,0.46102213859558105
generating core.122,generating core.<*>,BGL,Unseen,generating core.<*>,0.4592463970184326
generating core.1973,generating core.<*>,BGL,Unseen,generating core.<*>,0.4591231346130371
generating core.4984,generating core.<*>,BGL,Unseen,generating core.<*>,0.46367883682250977
generating core.1822,generating core.<*>,BGL,Unseen,generating core.<*>,0.456805944442749
generating core.3265,generating core.<*>,BGL,Unseen,generating core.<*>,0.45792603492736816
generating core.2599,generating core.<*>,BGL,Unseen,generating core.<*>,0.4660329818725586
generating core.1818,generating core.<*>,BGL,Unseen,generating core.<*>,0.4473838806152344
generating core.1694,generating core.<*>,BGL,Unseen,generating core.<*>,0.44571971893310547
generating core.3401,generating core.<*>,BGL,Unseen,generating core.<*>,0.44923853874206543
generating core.25350,generating core.<*>,BGL,Unseen,generating core.<*>,0.44752001762390137
generating core.1820,generating core.<*>,BGL,Unseen,generating core.<*>,0.4463975429534912
generating core.254,generating core.<*>,BGL,Unseen,generating core.<*>,0.4448540210723877
generating core.1887,generating core.<*>,BGL,Unseen,generating core.<*>,0.4521188735961914
generating core.8280,generating core.<*>,BGL,Unseen,generating core.<*>,0.4558706283569336
generating core.12357,generating core.<*>,BGL,Unseen,generating core.<*>,0.4518706798553467
ciod: Message code 0 is not 51 or 4294967295,ciod: Message code <*> is not <*> or <*>,BGL,Unseen,ciod: Message code <*> is not <*> or <*>,1.035787582397461
generating core.2522,generating core.<*>,BGL,Unseen,generating core.<*>,0.44989871978759766
generating core.1711,generating core.<*>,BGL,Unseen,generating core.<*>,0.4442141056060791
generating core.2332,generating core.<*>,BGL,Unseen,generating core.<*>,0.44971442222595215
generating core.4505,generating core.<*>,BGL,Unseen,generating core.<*>,0.441875696182251
generating core.1521,generating core.<*>,BGL,Unseen,generating core.<*>,0.44222450256347656
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by dcbf.........<*>,0.8207917213439941
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by dcbf.........<*>,0.8182988166809082
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,BGL,Unseen,program interrupt: privileged instruction...<*>,0.6925997734069824
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,BGL,Unseen,program interrupt: privileged instruction...<*>,0.7086923122406006
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.8367102146148682
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.8338947296142578
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.8295180797576904
byte ordering exception.....................0,byte ordering exception.....................<*>,BGL,Unseen,byte ordering exception.....................<*>,0.5830106735229492
byte ordering exception.....................0,byte ordering exception.....................<*>,BGL,Unseen,byte ordering exception.....................<*>,0.5724196434020996
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.511063814163208
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.5190370082855225
guaranteed data cache block touch........1,guaranteed data cache block touch........<*>,BGL,Unseen,guaranteed data cache block touch........<*>,0.7768585681915283
special purpose registers:,special purpose registers:,BGL,Unseen,special purpose registers:,0.3912653923034668
debug wait enable.................0,debug wait enable.................<*>,BGL,Unseen,debug wait enable.................<*>,0.6386561393737793
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.5090806484222412
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.5143177509307861
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.512230634689331
generating core.42,generating core.<*>,BGL,Unseen,generating core.<*>,0.4490938186645508
total of 1 ddr error(s) detected and corrected,total of <*> ddr error(s) detected and corrected,BGL,Unseen,total of <*> ddr error(s) detected and corrected,0.9584469795227051
generating core.145,generating core.<*>,BGL,Unseen,generating core.<*>,0.444230318069458
generating core.1978,generating core.<*>,BGL,Unseen,generating core.<*>,0.4479787349700928
generating core.2040,generating core.<*>,BGL,Unseen,generating core.<*>,0.4487791061401367
generating core.15,generating core.<*>,BGL,Unseen,generating core.<*>,0.45072269439697266
generating core.16218,generating core.<*>,BGL,Unseen,generating core.<*>,0.45285820960998535
generating core.8531,generating core.<*>,BGL,Unseen,generating core.<*>,0.44568657875061035
generating core.2961,generating core.<*>,BGL,Unseen,generating core.<*>,0.4476296901702881
generating core.15966,generating core.<*>,BGL,Unseen,generating core.<*>,0.44153714179992676
generating core.42,generating core.<*>,BGL,Unseen,generating core.<*>,0.4502372741699219
generating core.93,generating core.<*>,BGL,Unseen,generating core.<*>,0.4528946876525879
generating core.2605,generating core.<*>,BGL,Unseen,generating core.<*>,0.4493434429168701
generating core.6037,generating core.<*>,BGL,Unseen,generating core.<*>,0.45435428619384766
generating core.886,generating core.<*>,BGL,Unseen,generating core.<*>,0.44880080223083496
generating core.3053,generating core.<*>,BGL,Unseen,generating core.<*>,0.45444822311401367
generating core.2790,generating core.<*>,BGL,Unseen,generating core.<*>,0.45079731941223145
generating core.1488,generating core.<*>,BGL,Unseen,generating core.<*>,0.4520089626312256
generating core.2186,generating core.<*>,BGL,Unseen,generating core.<*>,0.4539179801940918
generating core.978,generating core.<*>,BGL,Unseen,generating core.<*>,0.447922945022583
generating core.2808,generating core.<*>,BGL,Unseen,generating core.<*>,0.4493882656097412
generating core.2486,generating core.<*>,BGL,Unseen,generating core.<*>,0.4516420364379883
generating core.334,generating core.<*>,BGL,Unseen,generating core.<*>,0.45523738861083984
generating core.5401,generating core.<*>,BGL,Unseen,generating core.<*>,0.44329237937927246
generating core.14418,generating core.<*>,BGL,Unseen,generating core.<*>,0.4478170871734619
generating core.2558,generating core.<*>,BGL,Unseen,generating core.<*>,0.4435000419616699
generating core.9785,generating core.<*>,BGL,Unseen,generating core.<*>,0.4476473331451416
generating core.4614,generating core.<*>,BGL,Unseen,generating core.<*>,0.447340726852417
generating core.7615,generating core.<*>,BGL,Unseen,generating core.<*>,0.44705748558044434
generating core.15935,generating core.<*>,BGL,Unseen,generating core.<*>,0.44531679153442383
generating core.8089,generating core.<*>,BGL,Unseen,generating core.<*>,0.4465610980987549
generating core.4660,generating core.<*>,BGL,Unseen,generating core.<*>,0.44847607612609863
generating core.721,generating core.<*>,BGL,Unseen,generating core.<*>,0.44641661643981934
generating core.5287,generating core.<*>,BGL,Unseen,generating core.<*>,0.449207067489624
generating core.783,generating core.<*>,BGL,Unseen,generating core.<*>,0.4462757110595703
generating core.24721,generating core.<*>,BGL,Unseen,generating core.<*>,0.4474601745605469
generating core.4184,generating core.<*>,BGL,Unseen,generating core.<*>,0.44893503189086914
generating core.58109,generating core.<*>,BGL,Unseen,generating core.<*>,0.4477722644805908
generating core.9881,generating core.<*>,BGL,Unseen,generating core.<*>,0.45499682426452637
generating core.19579,generating core.<*>,BGL,Unseen,generating core.<*>,0.4491903781890869
generating core.4501,generating core.<*>,BGL,Unseen,generating core.<*>,0.4508094787597656
generating core.50230,generating core.<*>,BGL,Unseen,generating core.<*>,0.45291972160339355
generating core.62516,generating core.<*>,BGL,Unseen,generating core.<*>,0.44443297386169434
generating core.27921,generating core.<*>,BGL,Unseen,generating core.<*>,0.44577980041503906
generating core.16830,generating core.<*>,BGL,Unseen,generating core.<*>,0.449326753616333
generating core.9369,generating core.<*>,BGL,Unseen,generating core.<*>,0.4465053081512451
generating core.10140,generating core.<*>,BGL,Unseen,generating core.<*>,0.44260501861572266
generating core.37749,generating core.<*>,BGL,Unseen,generating core.<*>,0.4437527656555176
generating core.9654,generating core.<*>,BGL,Unseen,generating core.<*>,0.4415884017944336
generating core.56155,generating core.<*>,BGL,Unseen,generating core.<*>,0.44614291191101074
generating core.40250,generating core.<*>,BGL,Unseen,generating core.<*>,0.4434621334075928
generating core.45353,generating core.<*>,BGL,Unseen,generating core.<*>,0.4431955814361572
generating core.9578,generating core.<*>,BGL,Unseen,generating core.<*>,0.4442262649536133
generating core.14856,generating core.<*>,BGL,Unseen,generating core.<*>,0.4436526298522949
generating core.62468,generating core.<*>,BGL,Unseen,generating core.<*>,0.44510483741760254
generating core.38415,generating core.<*>,BGL,Unseen,generating core.<*>,0.4417703151702881
generating core.39138,generating core.<*>,BGL,Unseen,generating core.<*>,0.4443848133087158
generating core.10394,generating core.<*>,BGL,Unseen,generating core.<*>,0.4408390522003174
generating core.41347,generating core.<*>,BGL,Unseen,generating core.<*>,0.4420619010925293
generating core.7619,generating core.<*>,BGL,Unseen,generating core.<*>,0.43994855880737305
generating core.54486,generating core.<*>,BGL,Unseen,generating core.<*>,0.444608211517334
generating core.22421,generating core.<*>,BGL,Unseen,generating core.<*>,0.44292140007019043
generating core.18261,generating core.<*>,BGL,Unseen,generating core.<*>,0.4530823230743408
generating core.58616,generating core.<*>,BGL,Unseen,generating core.<*>,0.44820308685302734
generating core.47736,generating core.<*>,BGL,Unseen,generating core.<*>,0.4467926025390625
generating core.25048,generating core.<*>,BGL,Unseen,generating core.<*>,0.45261597633361816
generating core.58777,generating core.<*>,BGL,Unseen,generating core.<*>,0.45937228202819824
generating core.49137,generating core.<*>,BGL,Unseen,generating core.<*>,0.45404911041259766
generating core.42553,generating core.<*>,BGL,Unseen,generating core.<*>,0.4525773525238037
generating core.2109,generating core.<*>,BGL,Unseen,generating core.<*>,0.44993042945861816
generating core.718,generating core.<*>,BGL,Unseen,generating core.<*>,0.4517219066619873
generating core.10752,generating core.<*>,BGL,Unseen,generating core.<*>,0.4452853202819824
generating core.323,generating core.<*>,BGL,Unseen,generating core.<*>,0.4540698528289795
generating core.21112,generating core.<*>,BGL,Unseen,generating core.<*>,0.44596290588378906
generating core.28370,generating core.<*>,BGL,Unseen,generating core.<*>,0.4467639923095703
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,BGL,Unseen,program interrupt: privileged instruction...<*>,0.7068688869476318
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by dcbf.........<*>,0.8311948776245117
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.8304603099822998
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.8378806114196777
generating core.14700,generating core.<*>,BGL,Unseen,generating core.<*>,0.44626498222351074
