Content,EventTemplate,Dataset,Category,Unseen_Mistral_FT_Thunderbird_3,Inference_time_3
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),4.281792163848877
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.9370806217193604
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.9220120906829834
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.9222469329833984
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.91219162940979
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.9119555950164795
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.9195003509521484
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.9458017349243164
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.9278557300567627
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.9166805744171143
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.9200522899627686
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.9280118942260742
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.928673267364502
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,session opened for user <*> by (uid=<*>),0.9211506843566895
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>",Thunderbird,Unseen,"synchronized to <*>, stratum <*>",0.8145742416381836
"synchronized to 10.100.28.250, stratum 3","synchronized to <*>, stratum <*>",Thunderbird,Unseen,"synchronized to <*>, stratum <*>",0.8084876537322998
"synchronized to 10.100.24.250, stratum 3","synchronized to <*>, stratum <*>",Thunderbird,Unseen,"synchronized to <*>, stratum <*>",0.808129072189331
"synchronized to 10.100.16.250, stratum 3","synchronized to <*>, stratum <*>",Thunderbird,Unseen,"synchronized to <*>, stratum <*>",0.7890686988830566
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>",Thunderbird,Unseen,"synchronized to <*>, stratum <*>",0.8011972904205322
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>",Thunderbird,Unseen,"synchronized to <*>, stratum <*>",0.7949481010437012
"synchronized to 10.100.26.250, stratum 3","synchronized to <*>, stratum <*>",Thunderbird,Unseen,"synchronized to <*>, stratum <*>",0.8038787841796875
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>",Thunderbird,Unseen,"synchronized to <*>, stratum <*>",0.8008289337158203
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>",Thunderbird,Unseen,"synchronized to <*>, stratum <*>",0.8149101734161377
