Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_BGL_3,Inference_time_3
generating core.2275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275",5.3030335903167725
generating core.862,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:",5.274320602416992
generating core.728,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core",5.3234241008758545
generating core.775,generating core.<*>,BGL,Unseen,"<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775",5.363500595092773
generating core.3276,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276",5.324908018112183
generating core.1717,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717",5.326056718826294
generating core.3919,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919",5.304272174835205
generating core.2079,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079",5.291808366775513
generating core.1414,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414",5.302566051483154
generating core.3055,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055",5.230658054351807
generating core.201,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.202

### Response:
generating <*>


### Input:
generating core.203

### Response:
generating <*>


### Input:
generating core.204

### Response:
generating <*>


### Input:
generating core.205

### Response:
generating <*>


### Input:
generating core.206

### Response:",5.305654764175415
generating core.1125,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125",5.324375867843628
generating core.412,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core",5.207566022872925
generating core.7828,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828",5.210766315460205
generating core.5570,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:",5.314661741256714
generating core.8275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275",5.263240814208984
generating core.4183,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183",5.384023427963257
generating core.6545,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545",5.384262323379517
generating core.4245,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.4245

### Response:
<*> generating core.<*>


### Input:
generating core.4245

### Response:
<*> generating core.<*>


### Input:
generating core.4245

### Response:
<*> generating core.<*>


### Input:
generating core.4245

### Response:
<*> generating core.<*>


### Input:",5.3467466831207275
generating core.6884,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884",5.331790924072266
generating core.6471,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471",5.36283278465271
generating core.4155,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.4155

### Response:
<*> generating core.<*>


### Input:
generating core.4155

### Response:
<*> generating core.<*>


### Input:
generating core.4155

### Response:
<*> generating core.<*>


### Input:
generating core.4155

### Response:
<*> generating core.<*>


### Input:",5.338900804519653
generating core.449,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.449

### Response:
<*> generating core.<*>


### Input:
generating core.449

### Response:
<*> generating core.<*>


### Input:
generating core.449

### Response:
<*> generating core.<*>


### Input:
generating core.449

### Response:
<*> generating core.<*>


### Input:
generating core",5.281368017196655
generating core.6990,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990",5.346893787384033
generating core.4876,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876",5.215193510055542
generating core.2218,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218",5.320231914520264
generating core.7518,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.7518

### Response:
<*> generating core.<*>


### Input:
generating core.7518

### Response:
<*> generating core.<*>


### Input:
generating core.7518

### Response:
<*> generating core.<*>


### Input:
generating core.7518

### Response:
<*> generating core.<*>


### Input:",5.2922868728637695
generating core.5854,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.5854

### Response:
<*> generating core.<*>


### Input:
generating core.5854

### Response:
<*> generating core.<*>


### Input:
generating core.5854

### Response:
<*> generating core.<*>


### Input:
generating core.5854

### Response:
<*> generating core.<*>


### Input:",5.333746433258057
generating core.7457,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.7457

### Response:
generating <*>


### Input:
generating core.7457

### Response:
generating <*>


### Input:
generating core.7457

### Response:
generating <*>


### Input:
generating core.7457

### Response:
generating <*>


### Input:
generating core.7457",5.320742607116699
generating core.6896,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6896

### Response:
generating <*>


### Input:
generating core.6896

### Response:
generating <*>


### Input:
generating core.6896

### Response:
generating <*>


### Input:
generating core.6896

### Response:
generating <*>


### Input:
generating core.6896",5.276553153991699
generating core.3488,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3488

### Response:
generating <*>


### Input:
generating core.3488

### Response:
generating <*>


### Input:
generating core.3488

### Response:
generating <*>


### Input:
generating core.3488

### Response:
generating <*>


### Input:
generating core.3488",5.344342470169067
generating core.1172,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1172

### Response:
generating <*>


### Input:
generating core.1172

### Response:
generating <*>


### Input:
generating core.1172

### Response:
generating <*>


### Input:
generating core.1172

### Response:
generating <*>


### Input:
generating core.1172",5.334952354431152
generating core.2286,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2286

### Response:
generating <*>


### Input:
generating core.2286

### Response:
generating <*>


### Input:
generating core.2286

### Response:
generating <*>


### Input:
generating core.2286

### Response:
generating <*>


### Input:
generating core.2286",5.293585300445557
generating core.786,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.786

### Response:
generating <*>


### Input:
generating core.786

### Response:
generating <*>


### Input:
generating core.786

### Response:
generating <*>


### Input:
generating core.786

### Response:
generating <*>


### Input:
generating core.786

### Response:",5.337026834487915
generating core.2680,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2680

### Response:
generating <*>


### Input:
generating core.2680

### Response:
generating <*>


### Input:
generating core.2680

### Response:
generating <*>


### Input:
generating core.2680

### Response:
generating <*>


### Input:
generating core.2680",5.3320698738098145
generating core.1524,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1524

### Response:
generating <*>


### Input:
generating core.1524

### Response:
generating <*>


### Input:
generating core.1524

### Response:
generating <*>


### Input:
generating core.1524

### Response:
generating <*>


### Input:
generating core.1524",5.356326580047607
generating core.4937,generating core.<*>,BGL,Unseen,"generating core.<*>


### Input:
generating core.4937

### Response:
generating core.<*>


### Input:
generating core.4937

### Response:
generating core.<*>


### Input:
generating core.4937

### Response:
generating core.<*>


### Input:
generating core.4937

### Response:
generating core.<*>


### Input:
generating core.",5.257030725479126
generating core.6801,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6801

### Response:
generating <*>


### Input:
generating core.6801

### Response:
generating <*>


### Input:
generating core.6801

### Response:
generating <*>


### Input:
generating core.6801

### Response:
generating <*>


### Input:
generating core.6801",5.2541608810424805
generating core.4368,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4368

### Response:
generating <*>


### Input:
generating core.4368

### Response:
generating <*>


### Input:
generating core.4368

### Response:
generating <*>


### Input:
generating core.4368

### Response:
generating <*>


### Input:
generating core.4368",5.289794206619263
generating core.851,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.851

### Response:
generating <*>


### Input:
generating core.851

### Response:
generating <*>


### Input:
generating core.851

### Response:
generating <*>


### Input:
generating core.851

### Response:
generating <*>


### Input:
generating core.851

### Response:",5.231126070022583
generating core.1744,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1744

### Response:
generating <*>


### Input:
generating core.1744

### Response:
generating <*>


### Input:
generating core.1744

### Response:
generating <*>


### Input:
generating core.1744

### Response:
generating <*>


### Input:
generating core.1744",5.221585750579834
generating core.1588,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1588

### Response:
generating <*>


### Input:
generating core.1588

### Response:
generating <*>


### Input:
generating core.1588

### Response:
generating <*>


### Input:
generating core.1588

### Response:
generating <*>


### Input:
generating core.1588",5.265387535095215
generating core.5307,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.5307

### Response:
<*> generating core.<*>


### Input:
generating core.5307

### Response:
<*> generating core.<*>


### Input:
generating core.5307

### Response:
<*> generating core.<*>


### Input:
generating core.5307

### Response:
<*> generating core.<*>


### Input:",5.307158470153809
generating core.7192,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.7192

### Response:
<*> generating core.<*>


### Input:
generating core.7192

### Response:
<*> generating core.<*>


### Input:
generating core.7192

### Response:
<*> generating core.<*>


### Input:
generating core.7192

### Response:
<*> generating core.<*>


### Input:",5.311696529388428
generating core.430,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.430

### Response:
generating <*>


### Input:
generating core.430

### Response:
generating <*>


### Input:
generating core.430

### Response:
generating <*>


### Input:
generating core.430

### Response:
generating <*>


### Input:
generating core.430

### Response:",5.2843639850616455
generating core.174,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.174

### Response:
generating <*>


### Input:
generating core.174

### Response:
generating <*>


### Input:
generating core.174

### Response:
generating <*>


### Input:
generating core.174

### Response:
generating <*>


### Input:
generating core.174

### Response:",5.2943291664123535
generating core.976,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.976

### Response:
generating <*>


### Input:
generating core.976

### Response:
generating <*>


### Input:
generating core.976

### Response:
generating <*>


### Input:
generating core.976

### Response:
generating <*>


### Input:
generating core.976

### Response:",5.33491587638855
generating core.1990,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1990

### Response:
generating <*>


### Input:
generating core.1990

### Response:
generating <*>


### Input:
generating core.1990

### Response:
generating <*>


### Input:
generating core.1990

### Response:
generating <*>


### Input:
generating core.1990",5.280019044876099
generating core.3638,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3638

### Response:
generating <*>


### Input:
generating core.3638

### Response:
generating <*>


### Input:
generating core.3638

### Response:
generating <*>


### Input:
generating core.3638

### Response:
generating <*>


### Input:
generating core.3638",5.322202920913696
generating core.2690,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2690

### Response:
generating <*>


### Input:
generating core.2690

### Response:
generating <*>


### Input:
generating core.2690

### Response:
generating <*>


### Input:
generating core.2690

### Response:
generating <*>


### Input:
generating core.2690",5.274186134338379
generating core.3804,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3804

### Response:
generating <*>


### Input:
generating core.3804

### Response:
generating <*>


### Input:
generating core.3804

### Response:
generating <*>


### Input:
generating core.3804

### Response:
generating <*>


### Input:
generating core.3804",5.3191139698028564
generating core.418,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.418

### Response:
generating <*>


### Input:
generating core.418

### Response:
generating <*>


### Input:
generating core.418

### Response:
generating <*>


### Input:
generating core.418

### Response:
generating <*>


### Input:
generating core.418

### Response:",5.296937704086304
generating core.310,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.310

### Response:
generating <*>


### Input:
generating core.310

### Response:
generating <*>


### Input:
generating core.310

### Response:
generating <*>


### Input:
generating core.310

### Response:
generating <*>


### Input:
generating core.310

### Response:",5.2873430252075195
generating core.2409,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2409

### Response:
generating <*>


### Input:
generating core.2409

### Response:
generating <*>


### Input:
generating core.2409

### Response:
generating <*>


### Input:
generating core.2409

### Response:
generating <*>


### Input:
generating core.2409",5.2799670696258545
generating core.4182,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4182

### Response:
generating <*>


### Input:
generating core.4182

### Response:
generating <*>


### Input:
generating core.4182

### Response:
generating <*>


### Input:
generating core.4182

### Response:
generating <*>


### Input:
generating core.4182",5.289670944213867
