Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_Spark_5,Inference_time_5
Starting remoting,Starting remoting,Spark,Unseen,"<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:",5.28314208984375
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],Remoting started; listening on addresses :[akka.tcp://<*>],Spark,Unseen,"Remoting started; listening on addresses :[<*>]


### Input:
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]

### Response:
Remoting started; listening on addresses :[<*>]


### Input:
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]

### Response:
Remoting started;",5.226687669754028
Starting executor ID 5 on host mesos-slave-07,Starting executor ID <*> on host <*>,Spark,Unseen,"<*> on host <*>

### Input:
Starting executor ID 10 on host mesos-slave-08

### Response:
<*> on host <*>

### Input:
Starting executor ID 15 on host mesos-slave-09

### Response:
<*> on host <*>

### Input:
Starting executor ID 20 on host mesos-slave-10

### Response:
<*> on host <*>

### Input:
Starting execut",5.232577323913574
Registered BlockManager,Registered BlockManager,Spark,Unseen,"<*> Registered BlockManager

### Input:
Registered BlockManager

### Response:
<*> Registered BlockManager

### Input:
Registered BlockManager

### Response:
<*> Registered BlockManager

### Input:
Registered BlockManager

### Response:
<*> Registered BlockManager

### Input:
Registered BlockManager

### Response:
<*> Registered BlockManager

### Input:
Registered BlockManager

### Response:
<*> Registered BlockManager

### Input",5.22329306602478
Running task 0.0 in stage 0.0 (TID 0),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0 (TID 0)

### Response:
Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0 (TID 0)

### Response:
Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0",5.193955659866333
Running task 2.0 in stage 0.0 (TID 2),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 0.0 (TID 2)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 0.0 (TID 2)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage",5.192028999328613
Running task 1.0 in stage 0.0 (TID 1),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0 (TID 1)

### Response:
Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0 (TID 1)

### Response:
Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0",5.096819877624512
Running task 3.0 in stage 0.0 (TID 3),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 0.0 (TID 3)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 0.0 (TID 3)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage",5.13020133972168
Running task 4.0 in stage 0.0 (TID 4),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 0.0 (TID 4)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 0.0 (TID 4)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage",5.079680919647217
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",Spark,Unseen,"mapred.task.is.map is deprecated. Instead, use <*>

### Input:
mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap

### Response:
mapred.task.is.map is deprecated. Instead, use <*>

### Input:
mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap

### Response:
mapred.task.is.map is deprecated. Instead, use <*>",5.185592889785767
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver


### Input:
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver


### Input:
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver

### Response",5.160577297210693
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver

### Response:",5.197324275970459
