Content,EventTemplate,Dataset,Category,GPT_Temp_5,GPT_Time_5,GPT_In_Tokens_5,GPT_Out_Tokens_5
PacketResponder 1 for block blk_38865049064139660 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,PacketResponder <*> for block <*> terminating,1.6233479976654053,356,11
PacketResponder 0 for block blk_-6952295868487656571 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,PacketResponder <*> for block <*> terminating,0.8799862861633301,357,11
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.1110632419586182,381,27
PacketResponder 2 for block blk_8229193803249955061 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,PacketResponder <*> for block <*> terminating,1.1849713325500488,357,11
PacketResponder 2 for block blk_-6670958622368987959 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,PacketResponder <*> for block <*> terminating,1.4880752563476562,357,11
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.9104375839233398,381,27
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.117234706878662,381,27
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,6.192637920379639,381,27
PacketResponder 2 for block blk_572492839287299681 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,PacketResponder <*> for block <*> terminating,0.7415304183959961,356,11
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Received block <*> of size <*> from <*>,HDFS,New,Received block blk_<*> of size <*> from /<*>,0.9322900772094727,367,16
Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Received block <*> of size <*> from <*>,HDFS,New,Received block blk_<*> of size <*> from /<*>,1.022437572479248,367,16
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,3.6142914295196533,378,23
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,1.2816355228424072,378,23
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.940272331237793,381,27
Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block <*> src: /<*>:<*> dest: /<*>:<*>,1.2594521045684814,378,21
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_<*>_m_<*>_<*>/part-<*>. blk_<*>,1.4119226932525635,386,37
PacketResponder 1 for block blk_5017373558217225674 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,PacketResponder <*> for block blk_<*> terminating,1.0427801609039307,357,13
Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,Received block <*> of size <*> from <*>,HDFS,New,Received block blk_<*> of size <*> from /<*>,0.967907190322876,367,16
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,4.498068571090698,386,15
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.1351144313812256,381,27
Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,Received block <*> of size <*> from <*>,HDFS,New,Received block <*> of size <*> from /<*>,0.9058823585510254,367,14
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.032860279083252,381,27
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,3.516519069671631,381,27
Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,Received block <*> of size <*> from <*>,HDFS,New,Received block blk_<*> of size <*> from /<*>,1.0533230304718018,367,16
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.3260233402252197,381,27
Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block <*> src: /<*>:<*> dest: /<*>:<*>,1.1619315147399902,377,21
Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,Received block <*> of size <*> from <*>,HDFS,New,Received block blk_<*> of size <*> from /<*>,1.271803379058838,367,16
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,BLOCK* NameSystem.allocateBlock: <*>. blk_<*>,1.6259188652038574,386,16
Verification succeeded for blk_-4980916519894289629,Verification succeeded for <*>,HDFS,New,Verification succeeded for blk_<*>,0.8775930404663086,353,10
Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,Received block <*> of size <*> from <*>,HDFS,New,Received block <*> of size <*> from /<*>,0.8779740333557129,367,14
Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block <*> src: /<*>:<*> dest: /<*>:<*>,1.4991767406463623,378,21
Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,Received block <*> of size <*> from <*>,HDFS,New,Received block blk_<*> of size <*> from /<*>,0.9684967994689941,367,16
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.196962594985962,381,27
Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,1.344684362411499,378,23
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.278611660003662,380,27
Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,Received block <*> of size <*> from <*>,HDFS,New,Received block blk_<*> of size <*> from /<*>,0.8162970542907715,367,16
Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,Received block <*> of size <*> from <*>,HDFS,New,Received block <*> of size <*> from /<*>,1.180532455444336,367,14
Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,Received block <*> of size <*> from <*>,HDFS,New,Received block <*> of size <*> from /<*>,0.9673266410827637,367,14
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.0795519351959229,381,27
Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,0.9870493412017822,378,23
Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,Received block <*> of size <*> from <*>,HDFS,New,Received block blk_<*> of size <*> from /<*>,1.9603333473205566,367,16
Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,Received block <*> of size <*> from <*>,HDFS,New,Received block blk_<*> of size <*> from /<*>,1.1054916381835938,367,16
Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block <*> src: /<*>:<*> dest: /<*>:<*>,1.111842393875122,378,21
Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,Received block <*> of size <*> from <*>,HDFS,New,Received block blk_<*> of size <*> from /<*>,0.9031076431274414,367,16
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.9767329692840576,380,27
PacketResponder 1 for block blk_-5073870177832699716 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,PacketResponder <*> for block <*> terminating,1.266697883605957,357,11
Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,Received block <*> of size <*> from <*>,HDFS,New,Received block blk_<*> of size <*> from /<*>,0.9828016757965088,367,16
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.2279446125030518,381,27
PacketResponder 0 for block blk_7791237942696729620 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,PacketResponder <*> for block <*> terminating,1.0094740390777588,357,11
