Content,EventTemplate,Dataset,Category,GPT_Temp_2,GPT_Time_2,GPT_In_Tokens_2,GPT_Out_Tokens_2
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component \042SCSI-WWID:<*>\042 is in the unavailable state (HWID=<*>),1.1751434803009033,396,31
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.409266710281372,363,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.0221233367919922,363,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2434706687927246,363,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1686453819274902,363,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1885104179382324,363,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.503950595855713,363,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.5863010883331299,363,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),0.9450936317443848,363,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the <*> state (HWID=<*>),1.0939979553222656,363,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3169763088226318,363,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3311593532562256,363,21
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),1.1827442646026611,350,12
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),1.5762946605682373,350,12
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot (command <*>),1.1213302612304688,349,11
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix (command <*>),1.05926513671875,352,14
boot  (command 1911),boot (command <*>),HPC,New,boot (command <*>),0.7666981220245361,348,10
boot  (command 1910),boot (command <*>),HPC,New,boot (command <*>),1.478053092956543,348,10
boot  (command 1978),boot (command <*>),HPC,New,boot (command <*>),0.9050772190093994,348,10
boot  (command 1967),boot (command <*>),HPC,New,boot (command <*>),1.2363917827606201,348,10
wait  (command 1975),wait (command <*>),HPC,New,wait  (command <*>),1.3493874073028564,348,11
boot  (command 1999),boot (command <*>),HPC,New,boot (command <*>),1.0610790252685547,348,10
halt  (command 1982),halt (command <*>),HPC,New,halt  (command <*>),0.8999817371368408,348,11
boot  (command 1981),boot (command <*>),HPC,New,boot (command <*>),1.0552504062652588,348,10
boot  (command 1973),boot (command <*>),HPC,New,boot (command <*>),1.0581965446472168,348,10
wait  (command 1973),wait (command <*>),HPC,New,wait  (command <*>),1.0369532108306885,348,11
wait  (command 2057),wait (command <*>),HPC,New,wait (command <*>),2.7537622451782227,348,10
boot  (command 2152),boot (command <*>),HPC,New,boot (command <*>),0.7659492492675781,348,10
wait  (command 2154),wait (command <*>),HPC,New,wait  (command <*>),1.2816736698150635,348,11
boot  (command 2141),boot (command <*>),HPC,New,boot (command <*>),1.3041255474090576,348,10
boot  (command 2110),boot (command <*>),HPC,New,boot (command <*>),0.8876211643218994,348,10
boot  (command 2160),boot (command <*>),HPC,New,boot (command <*>),0.8114469051361084,348,10
halt  (command 2221),halt (command <*>),HPC,New,halt  (command <*>),1.658735990524292,348,11
wait  (command 2217),wait (command <*>),HPC,New,wait  (command <*>),1.335763692855835,348,11
wait  (command 2217),wait (command <*>),HPC,New,wait  (command <*>),5.496883392333984,348,11
wait  (command 2201),wait (command <*>),HPC,New,wait  (command <*>),1.3019030094146729,348,11
wait  (command 2199),wait (command <*>),HPC,New,wait  (command <*>),0.6894717216491699,348,11
boot  (command 2183),boot (command <*>),HPC,New,boot (command <*>),1.0754427909851074,348,10
wait  (command 2189),wait (command <*>),HPC,New,wait  (command <*>),1.259018898010254,348,11
wait  (command 2302),wait (command <*>),HPC,New,wait  (command <*>),0.8455650806427002,348,11
wait  (command 2270),wait (command <*>),HPC,New,wait  (command <*>),0.9067363739013672,348,11
wait  (command 2257),wait (command <*>),HPC,New,wait  (command <*>),0.8574385643005371,348,11
boot  (command 2257),boot (command <*>),HPC,New,boot (command <*>),0.7700257301330566,348,10
boot  (command 2316),boot (command <*>),HPC,New,boot (command <*>),0.988196849822998,348,10
boot  (command 2316),boot (command <*>),HPC,New,boot  (command <*>),1.092247724533081,348,11
wait  (command 2322),wait (command <*>),HPC,New,wait (command <*>),0.9477949142456055,348,10
wait  (command 2354),wait (command <*>),HPC,New,wait  (command <*>),0.9193472862243652,348,11
wait  (command 2347),wait (command <*>),HPC,New,wait  (command <*>),0.8212599754333496,348,11
boot  (command 2368),boot (command <*>),HPC,New,boot (command <*>),1.1536619663238525,348,10
boot  (command 2392),boot (command <*>),HPC,New,boot  (command <*>),1.2892482280731201,348,11
boot  (command 2406),boot (command <*>),HPC,New,boot (command <*>),1.0907948017120361,348,10
boot  (command 2417),boot (command <*>),HPC,New,boot (command <*>),0.977576494216919,348,10
boot  (command 2423),boot (command <*>),HPC,New,boot (command <*>),1.4090607166290283,348,10
wait  (command 2424),wait (command <*>),HPC,New,wait  (command <*>),1.2113714218139648,348,11
wait  (command 2449),wait (command <*>),HPC,New,wait  (command <*>),0.8493435382843018,348,11
boot  (command 2464),boot (command <*>),HPC,New,boot  (command <*>),0.9301292896270752,348,11
wait  (command 2468),wait (command <*>),HPC,New,wait  (command <*>),0.9250872135162354,348,11
boot  (command 2520),boot (command <*>),HPC,New,boot  (command <*>),1.5311529636383057,348,11
wait  (command 2517),wait (command <*>),HPC,New,wait  (command <*>),1.1263740062713623,348,11
boot  (command 2517),boot (command <*>),HPC,New,boot (command <*>),0.998894453048706,348,10
wait  (command 2511),wait (command <*>),HPC,New,wait  (command <*>),1.0695912837982178,348,11
wait  (command 2513),wait (command <*>),HPC,New,wait  (command <*>),0.842334508895874,348,11
boot  (command 2514),boot (command <*>),HPC,New,boot (command <*>),3.645350933074951,348,10
wait  (command 2484),wait (command <*>),HPC,New,wait  (command <*>),1.0166656970977783,348,11
boot  (command 2625),boot (command <*>),HPC,New,boot (command <*>),1.026900053024292,348,10
wait  (command 2607),wait (command <*>),HPC,New,wait  (command <*>),1.653028964996338,348,11
boot  (command 2616),boot (command <*>),HPC,New,boot  (command <*>),1.0201549530029297,348,11
boot  (command 2619),boot (command <*>),HPC,New,boot (command <*>),1.3487133979797363,348,10
boot  (command 2616),boot (command <*>),HPC,New,boot (command <*>),1.0182280540466309,348,10
boot  (command 2616),boot (command <*>),HPC,New,boot (command <*>),0.7298932075500488,348,10
