Content,EventTemplate,Dataset,Category,GPT_Temp_1,GPT_Time_1,GPT_In_Tokens_1,GPT_Out_Tokens_1
generating core.2275,generating core.<*>,BGL,Unseen,generating core.<*>,0.9759888648986816,347,9
generating core.862,generating core.<*>,BGL,Unseen,generating core.<*>,0.7948622703552246,346,9
generating core.728,generating core.<*>,BGL,Unseen,generating core.<*>,0.9291722774505615,346,9
generating core.775,generating core.<*>,BGL,Unseen,generating core.<*>,1.146819829940796,346,9
generating core.3276,generating core.<*>,BGL,Unseen,generating core.<*>,1.5472450256347656,347,9
generating core.1717,generating core.<*>,BGL,Unseen,generating core.<*>,1.1679670810699463,347,9
generating core.3919,generating core.<*>,BGL,Unseen,generating core.<*>,2.0697426795959473,347,9
generating core.2079,generating core.<*>,BGL,Unseen,generating core.<*>,1.155632495880127,347,9
generating core.1414,generating core.<*>,BGL,Unseen,generating core.<*>,1.6091902256011963,347,9
generating core.3055,generating core.<*>,BGL,Unseen,generating core.<*>,1.7840478420257568,347,9
generating core.201,generating core.<*>,BGL,Unseen,generating core.<*>,1.7448887825012207,346,9
generating core.1125,generating core.<*>,BGL,Unseen,generating core.<*>,1.4849534034729004,347,9
generating core.412,generating core.<*>,BGL,Unseen,generating core.<*>,1.0958149433135986,346,9
generating core.7828,generating core.<*>,BGL,Unseen,generating core.<*>,1.501250982284546,347,9
generating core.5570,generating core.<*>,BGL,Unseen,generating core.<*>,0.9833066463470459,347,9
generating core.8275,generating core.<*>,BGL,Unseen,generating core.<*>,1.498908281326294,347,9
generating core.4183,generating core.<*>,BGL,Unseen,generating core.<*>,1.1381022930145264,347,9
generating core.6545,generating core.<*>,BGL,Unseen,generating core.<*>,1.0745265483856201,347,9
generating core.4245,generating core.<*>,BGL,Unseen,generating core.<*>,0.8276641368865967,347,9
generating core.6884,generating core.<*>,BGL,Unseen,generating core.<*>,1.5790197849273682,347,9
generating core.6471,generating core.<*>,BGL,Unseen,generating core.<*>,0.9528892040252686,347,9
generating core.4155,generating core.<*>,BGL,Unseen,generating core.<*>,1.0212481021881104,347,9
generating core.449,generating core.<*>,BGL,Unseen,generating core.<*>,1.479651689529419,346,9
generating core.6990,generating core.<*>,BGL,Unseen,generating core.<*>,0.980893611907959,347,9
generating core.4876,generating core.<*>,BGL,Unseen,generating core.<*>,0.9093508720397949,347,9
generating core.2218,generating core.<*>,BGL,Unseen,generating core.<*>,1.404296875,347,9
generating core.7518,generating core.<*>,BGL,Unseen,generating core.<*>,1.0016894340515137,347,9
generating core.5854,generating core.<*>,BGL,Unseen,generating core.<*>,1.6609795093536377,347,9
generating core.7457,generating core.<*>,BGL,Unseen,generating core.<*>,1.4643723964691162,347,9
generating core.6896,generating core.<*>,BGL,Unseen,generating core.<*>,0.9602711200714111,347,9
generating core.3488,generating core.<*>,BGL,Unseen,generating core.<*>,1.4778199195861816,347,9
generating core.1172,generating core.<*>,BGL,Unseen,generating core.<*>,1.0113916397094727,347,9
generating core.2286,generating core.<*>,BGL,Unseen,generating core.<*>,0.9909794330596924,347,9
generating core.786,generating core.<*>,BGL,Unseen,generating core.<*>,0.6853601932525635,346,9
generating core.2680,generating core.<*>,BGL,Unseen,generating core.<*>,1.567582130432129,347,9
generating core.1524,generating core.<*>,BGL,Unseen,generating core.<*>,1.040977954864502,347,9
generating core.4937,generating core.<*>,BGL,Unseen,generating core.<*>,1.4719340801239014,347,9
generating core.6801,generating core.<*>,BGL,Unseen,generating core.<*>,1.1069793701171875,347,9
generating core.4368,generating core.<*>,BGL,Unseen,generating core.<*>,1.0099797248840332,347,9
generating core.851,generating core.<*>,BGL,Unseen,generating core.<*>,0.7770795822143555,346,9
generating core.1744,generating core.<*>,BGL,Unseen,generating core.<*>,0.9263250827789307,347,9
generating core.1588,generating core.<*>,BGL,Unseen,generating core.<*>,1.5403754711151123,347,9
generating core.5307,generating core.<*>,BGL,Unseen,generating core.<*>,1.5146939754486084,347,9
generating core.7192,generating core.<*>,BGL,Unseen,generating core.<*>,1.6823146343231201,347,9
generating core.430,generating core.<*>,BGL,Unseen,generating core.<*>,3.2568535804748535,346,9
generating core.174,generating core.<*>,BGL,Unseen,generating core.<*>,0.8426101207733154,346,9
generating core.976,generating core.<*>,BGL,Unseen,generating core.<*>,5.341588020324707,346,9
generating core.1990,generating core.<*>,BGL,Unseen,generating core.<*>,0.9980182647705078,347,9
generating core.3638,generating core.<*>,BGL,Unseen,generating core.<*>,1.1959717273712158,347,9
generating core.2690,generating core.<*>,BGL,Unseen,generating core.<*>,0.9493470191955566,347,9
generating core.3804,generating core.<*>,BGL,Unseen,generating core.<*>,0.8167526721954346,347,9
generating core.418,generating core.<*>,BGL,Unseen,generating core.<*>,0.7474551200866699,346,9
generating core.310,generating core.<*>,BGL,Unseen,generating core.<*>,1.5715079307556152,346,9
generating core.2409,generating core.<*>,BGL,Unseen,generating core.<*>,0.9369895458221436,347,9
generating core.4182,generating core.<*>,BGL,Unseen,generating core.<*>,0.7370383739471436,347,9
generating core.8153,generating core.<*>,BGL,Unseen,generating core.<*>,1.5515496730804443,347,9
generating core.7836,generating core.<*>,BGL,Unseen,generating core.<*>,1.4306690692901611,347,9
generating core.2911,generating core.<*>,BGL,Unseen,generating core.<*>,0.9688138961791992,347,9
generating core.2921,generating core.<*>,BGL,Unseen,generating core.<*>,0.9038019180297852,347,9
generating core.122,generating core.<*>,BGL,Unseen,generating core.<*>,0.9680497646331787,346,9
generating core.1973,generating core.<*>,BGL,Unseen,generating core.<*>,0.8782384395599365,347,9
generating core.4984,generating core.<*>,BGL,Unseen,generating core.<*>,0.8933894634246826,347,9
generating core.1822,generating core.<*>,BGL,Unseen,generating core.<*>,3.697618007659912,347,9
generating core.3265,generating core.<*>,BGL,Unseen,generating core.<*>,1.334580421447754,347,9
generating core.2599,generating core.<*>,BGL,Unseen,generating core.<*>,0.7985439300537109,347,9
generating core.1818,generating core.<*>,BGL,Unseen,generating core.<*>,0.8991663455963135,347,9
generating core.1694,generating core.<*>,BGL,Unseen,generating core.<*>,0.7781085968017578,347,9
generating core.3401,generating core.<*>,BGL,Unseen,generating core.<*>,0.9130659103393555,347,9
generating core.25350,generating core.<*>,BGL,Unseen,generating core.<*>,0.7492773532867432,347,9
generating core.1820,generating core.<*>,BGL,Unseen,generating core.<*>,0.9538767337799072,347,9
generating core.254,generating core.<*>,BGL,Unseen,generating core.<*>,0.5773849487304688,346,9
generating core.1887,generating core.<*>,BGL,Unseen,generating core.<*>,0.7316820621490479,347,9
generating core.8280,generating core.<*>,BGL,Unseen,generating core.<*>,0.9342107772827148,347,9
generating core.12357,generating core.<*>,BGL,Unseen,generating core.<*>,0.9173483848571777,347,9
ciod: Message code 0 is not 51 or 4294967295,ciod: Message code <*> is not <*> or <*>,BGL,Unseen,ciod: Message code <*> is not <*> or <*>,1.5204243659973145,358,15
generating core.2522,generating core.<*>,BGL,Unseen,generating core.<*>,1.1949131488800049,347,9
generating core.1711,generating core.<*>,BGL,Unseen,generating core.<*>,0.9555954933166504,347,9
generating core.2332,generating core.<*>,BGL,Unseen,generating core.<*>,1.5949182510375977,347,9
generating core.4505,generating core.<*>,BGL,Unseen,generating core.<*>,1.0278558731079102,347,9
generating core.1521,generating core.<*>,BGL,Unseen,generating core.<*>,0.6922552585601807,347,9
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by dcbf.........<*>,1.6509416103363037,351,15
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by <*>.........<*>,1.296067476272583,351,13
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,BGL,Unseen,program interrupt: privileged instruction...<*>,1.7385132312774658,348,12
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,BGL,Unseen,program interrupt: privileged instruction...<*>,0.7297937870025635,348,12
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,11.85317611694336,350,14
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.9103801250457764,350,14
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,1.1312644481658936,350,14
byte ordering exception.....................0,byte ordering exception.....................<*>,BGL,Unseen,byte ordering exception.....................<*>,0.9726591110229492,347,11
byte ordering exception.....................0,byte ordering exception.....................<*>,BGL,Unseen,byte ordering exception.....................<*>,1.4416356086730957,347,11
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,1.3147032260894775,346,10
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,1.450164794921875,346,10
guaranteed data cache block touch........1,guaranteed data cache block touch........<*>,BGL,Unseen,guaranteed data cache block touch........<*>,1.104966402053833,350,14
special purpose registers:,special purpose registers:,BGL,Unseen,special purpose registers:,0.6316969394683838,344,8
debug wait enable.................0,debug wait enable.................<*>,BGL,Unseen,debug wait enable.................<*>,0.9464457035064697,347,11
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,6.489496231079102,346,10
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.8739345073699951,346,10
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,1.068678379058838,346,10
generating core.42,generating core.<*>,BGL,Unseen,generating core.<*>,1.2460696697235107,346,9
total of 1 ddr error(s) detected and corrected,total of <*> ddr error(s) detected and corrected,BGL,Unseen,total of <*> ddr error(s) detected and corrected,1.773653507232666,353,15
