Content,EventTemplate,Dataset,Category,GPT_Temp_3,GPT_Time_3,GPT_In_Tokens_3,GPT_Out_Tokens_3
Connection closed by 173.234.31.186 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,Connection closed by <*> [preauth],1.5254731178283691,355,12
Connection closed by 212.47.254.145 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,Connection closed by <*> [preauth],0.849848747253418,355,12
Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: Bye Bye [preauth],1.1236281394958496,361,19
Connection closed by 173.234.31.186 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,Connection closed by <*> [preauth],0.9076812267303467,355,12
Received disconnect from 202.100.179.208: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: Bye Bye [preauth],1.4755103588104248,361,19
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: <*> <*> [preauth],1.414788007736206,361,19
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: Bye Bye [preauth],1.049131155014038,361,19
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*> <*> [preauth],0.985835075378418,361,17
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: Bye Bye [preauth],1.1054956912994385,361,19
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: Bye Bye [preauth],1.1975619792938232,361,19
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: Bye Bye [preauth],1.070645809173584,361,19
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*> <*> [preauth],1.137387990951538,361,17
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: <*> <*> [preauth],1.0465059280395508,361,19
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: <*> <*> [preauth],0.9705672264099121,361,19
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: Bye Bye [preauth],1.7616474628448486,361,19
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: <*> <*> [preauth],1.0148043632507324,361,19
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,Received disconnect from <*>:<*>: <*>: Bye Bye [preauth],1.0817556381225586,361,19
