Content,EventTemplate,Dataset,Category,GPT_Temp_5,GPT_Time_5,GPT_In_Tokens_5,GPT_Out_Tokens_5
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.8608512878417969,141,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the <*> state (HWID=<*>),0.8074686527252197,108,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the <*> state (HWID=<*>),0.9649777412414551,108,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the <*> state (HWID=<*>),1.0756690502166748,108,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the <*> state (HWID=<*>),0.9364101886749268,108,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the <*> state (HWID=<*>),0.9327247142791748,108,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the <*> state (HWID=<*>),1.4672651290893555,108,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the <*> state (HWID=<*>),0.956895112991333,108,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component \042<*>\042 is in the <*> state (HWID=<*>),0.8882777690887451,108,26
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the <*> state (HWID=<*>),0.787233829498291,108,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the <*> state (HWID=<*>),0.8188934326171875,108,21
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the <*> state (HWID=<*>),0.9238007068634033,108,21
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.9016757011413574,95,12
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,clusterAddMember  (command <*>),0.6981573104858398,95,13
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot  (command <*>),0.8283843994140625,94,12
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix (command <*>),0.9494969844818115,97,14
boot  (command 1911),boot (command <*>),HPC,New,boot (command <*>),0.6627039909362793,93,10
boot  (command 1910),boot (command <*>),HPC,New,boot (command <*>),0.9425430297851562,93,10
boot  (command 1978),boot (command <*>),HPC,New,boot (command <*>),0.7213339805603027,93,10
boot  (command 1967),boot (command <*>),HPC,New,boot (command <*>),0.7193827629089355,93,10
wait  (command 1975),wait (command <*>),HPC,New,wait  (command <*>),0.9045801162719727,93,11
boot  (command 1999),boot (command <*>),HPC,New,boot  (command <*>),0.6012656688690186,93,11
halt  (command 1982),halt (command <*>),HPC,New,halt  (command <*>),0.7400493621826172,93,11
boot  (command 1981),boot (command <*>),HPC,New,boot (command <*>),0.7397220134735107,93,10
boot  (command 1973),boot (command <*>),HPC,New,boot  (command <*>),0.8372476100921631,93,11
wait  (command 1973),wait (command <*>),HPC,New,wait  (command <*>),0.9481663703918457,93,11
wait  (command 2057),wait (command <*>),HPC,New,wait  (command <*>),0.949408769607544,93,11
boot  (command 2152),boot (command <*>),HPC,New,boot (command <*>),0.7342073917388916,93,10
wait  (command 2154),wait (command <*>),HPC,New,wait  (command <*>),0.8718500137329102,93,11
boot  (command 2141),boot (command <*>),HPC,New,boot  (command <*>),0.6374011039733887,93,11
boot  (command 2110),boot (command <*>),HPC,New,boot  (command <*>),0.7785346508026123,93,11
boot  (command 2160),boot (command <*>),HPC,New,boot  (command <*>),0.8093118667602539,93,11
halt  (command 2221),halt (command <*>),HPC,New,halt  (command <*>),0.7772643566131592,93,11
wait  (command 2217),wait (command <*>),HPC,New,wait  (command <*>),0.7561075687408447,93,11
wait  (command 2217),wait (command <*>),HPC,New,wait  (command <*>),0.7655355930328369,93,11
wait  (command 2201),wait (command <*>),HPC,New,wait  (command <*>),0.9187121391296387,93,11
wait  (command 2199),wait (command <*>),HPC,New,wait  (command <*>),0.8160052299499512,93,11
boot  (command 2183),boot (command <*>),HPC,New,boot (command <*>),0.7074165344238281,93,10
wait  (command 2189),wait (command <*>),HPC,New,wait  (command <*>),0.699150800704956,93,11
wait  (command 2302),wait (command <*>),HPC,New,wait  (command <*>),0.7858052253723145,93,11
wait  (command 2270),wait (command <*>),HPC,New,wait  (command <*>),0.9656341075897217,93,11
wait  (command 2257),wait (command <*>),HPC,New,wait  (command <*>),0.8349828720092773,93,11
boot  (command 2257),boot (command <*>),HPC,New,boot (command <*>),1.086249589920044,93,10
boot  (command 2316),boot (command <*>),HPC,New,boot  (command <*>),0.7417712211608887,93,11
boot  (command 2316),boot (command <*>),HPC,New,boot  (command <*>),0.706810474395752,93,11
wait  (command 2322),wait (command <*>),HPC,New,wait  (command <*>),0.865105152130127,93,11
wait  (command 2354),wait (command <*>),HPC,New,wait  (command <*>),1.5990052223205566,93,11
wait  (command 2347),wait (command <*>),HPC,New,wait  (command <*>),0.8308839797973633,93,11
boot  (command 2368),boot (command <*>),HPC,New,boot  (command <*>),0.5919883251190186,93,11
boot  (command 2392),boot (command <*>),HPC,New,boot (command <*>),0.6451482772827148,93,10
boot  (command 2406),boot (command <*>),HPC,New,boot  (command <*>),0.7445108890533447,93,11
boot  (command 2417),boot (command <*>),HPC,New,boot (command <*>),0.6962275505065918,93,10
boot  (command 2423),boot (command <*>),HPC,New,boot (command <*>),0.6893696784973145,93,10
wait  (command 2424),wait (command <*>),HPC,New,wait  (command <*>),0.6890039443969727,93,11
wait  (command 2449),wait (command <*>),HPC,New,wait  (command <*>),0.6840393543243408,93,11
boot  (command 2464),boot (command <*>),HPC,New,boot (command <*>),0.6386106014251709,93,10
wait  (command 2468),wait (command <*>),HPC,New,wait  (command <*>),2.6924984455108643,93,11
boot  (command 2520),boot (command <*>),HPC,New,boot (command <*>),0.7076737880706787,93,10
wait  (command 2517),wait (command <*>),HPC,New,wait  (command <*>),1.179741621017456,93,11
boot  (command 2517),boot (command <*>),HPC,New,boot (command <*>),1.172661304473877,93,10
wait  (command 2511),wait (command <*>),HPC,New,wait  (command <*>),1.137237787246704,93,11
wait  (command 2513),wait (command <*>),HPC,New,wait  (command <*>),0.8402435779571533,93,11
boot  (command 2514),boot (command <*>),HPC,New,boot (command <*>),0.7328460216522217,93,10
wait  (command 2484),wait (command <*>),HPC,New,wait  (command <*>),0.6496198177337646,93,11
boot  (command 2625),boot (command <*>),HPC,New,boot (command <*>),0.7316322326660156,93,10
wait  (command 2607),wait (command <*>),HPC,New,wait  (command <*>),0.8529949188232422,93,11
boot  (command 2616),boot (command <*>),HPC,New,boot (command <*>),0.7741870880126953,93,10
boot  (command 2619),boot (command <*>),HPC,New,boot (command <*>),0.8820796012878418,93,10
boot  (command 2616),boot (command <*>),HPC,New,boot (command <*>),0.8732221126556396,93,10
boot  (command 2616),boot (command <*>),HPC,New,boot (command <*>),0.6939728260040283,93,10
boot  (command 2602),boot (command <*>),HPC,New,boot (command <*>),0.9957888126373291,93,10
wait  (command 2582),wait (command <*>),HPC,New,wait  (command <*>),0.6304895877838135,93,11
boot  (command 2584),boot (command <*>),HPC,New,boot (command <*>),0.700484037399292,93,10
wait  (command 2549),wait (command <*>),HPC,New,wait  (command <*>),0.9855053424835205,93,11
boot  (command 2550),boot (command <*>),HPC,New,boot  (command <*>),0.7698218822479248,93,11
boot  (command 2548),boot (command <*>),HPC,New,boot (command <*>),0.9191880226135254,93,10
boot  (command 2538),boot (command <*>),HPC,New,boot (command <*>),0.9122295379638672,93,10
wait  (command 2683),wait (command <*>),HPC,New,wait  (command <*>),0.8232827186584473,93,11
boot  (command 2686),boot (command <*>),HPC,New,boot (command <*>),0.6135706901550293,93,10
wait  (command 2682),wait (command <*>),HPC,New,wait  (command <*>),0.9716641902923584,93,11
wait  (command 2763),wait (command <*>),HPC,New,wait  (command <*>),0.8162269592285156,93,11
wait  (command 2800),wait (command <*>),HPC,New,wait  (command <*>),0.671889066696167,93,11
boot  (command 2790),boot (command <*>),HPC,New,boot (command <*>),0.7735753059387207,93,10
wait  (command 2817),wait (command <*>),HPC,New,wait  (command <*>),0.9862473011016846,93,11
wait  (command 2823),wait (command <*>),HPC,New,wait  (command <*>),0.8158996105194092,93,11
wait  (command 2817),wait (command <*>),HPC,New,wait  (command <*>),0.9465177059173584,93,11
wait  (command 2900),wait (command <*>),HPC,New,wait  (command <*>),0.6351089477539062,93,11
wait  (command 2885),wait (command <*>),HPC,New,wait  (command <*>),0.8440065383911133,93,11
wait  (command 2909),wait (command <*>),HPC,New,wait  (command <*>),0.6676352024078369,93,11
boot  (command 2960),boot (command <*>),HPC,New,boot (command <*>),0.6114163398742676,93,10
wait  (command 2963),wait (command <*>),HPC,New,wait  (command <*>),0.7766156196594238,93,11
boot  (command 2999),boot (command <*>),HPC,New,boot (command <*>),1.4811458587646484,93,10
halt  (command 2992),halt (command <*>),HPC,New,halt  (command <*>),0.7133481502532959,93,11
wait  (command 3087),wait (command <*>),HPC,New,wait  (command <*>),0.7306375503540039,93,11
wait  (command 3079),wait (command <*>),HPC,New,wait  (command <*>),0.7010304927825928,93,11
wait  (command 3078),wait (command <*>),HPC,New,wait  (command <*>),0.715796947479248,93,11
wait  (command 3141),wait (command <*>),HPC,New,wait  (command <*>),0.8452434539794922,93,11
boot  (command 3138),boot (command <*>),HPC,New,boot (command <*>),0.9102878570556641,93,10
boot  (command 3169),boot (command <*>),HPC,New,boot  (command <*>),0.597801685333252,93,11
boot  (command 3169),boot (command <*>),HPC,New,boot  (command <*>),0.673088550567627,93,11
boot  (command 3194),boot (command <*>),HPC,New,boot  (command <*>),0.7387073040008545,93,11
boot  (command 3320),boot (command <*>),HPC,New,boot  (command <*>),0.776127815246582,93,11
boot  (command 3318),boot (command <*>),HPC,New,boot  (command <*>),0.6755781173706055,93,11
boot  (command 3317),boot (command <*>),HPC,New,boot  (command <*>),0.8043563365936279,93,11
wait  (command 3319),wait (command <*>),HPC,New,wait  (command <*>),1.5505874156951904,93,11
wait  (command 3334),wait (command <*>),HPC,New,wait  (command <*>),1.569704294204712,93,11
boot  (command 3334),boot (command <*>),HPC,New,boot  (command <*>),0.9648146629333496,93,11
wait  (command 3412),wait (command <*>),HPC,New,wait  (command <*>),0.7550246715545654,93,11
boot  (command 3413),boot (command <*>),HPC,New,boot (command <*>),3.941171646118164,93,10
boot  (command 3473),boot (command <*>),HPC,New,boot (command <*>),0.7274038791656494,93,10
wait  (command 3523),wait (command <*>),HPC,New,wait  (command <*>),1.3260738849639893,93,11
wait  (command 3525),wait (command <*>),HPC,New,wait  (command <*>),0.9532275199890137,93,11
wait  (command 3519),wait (command <*>),HPC,New,wait  (command <*>),0.7600784301757812,93,11
boot  (command 3519),boot (command <*>),HPC,New,boot (command <*>),0.8884072303771973,93,10
boot  (command 3512),boot (command <*>),HPC,New,boot  (command <*>),0.9286401271820068,93,11
boot  (command 3579),boot (command <*>),HPC,New,boot  (command <*>),0.6942474842071533,93,11
boot  (command 3572),boot (command <*>),HPC,New,boot  (command <*>),0.6846389770507812,93,11
boot  (command 3580),boot (command <*>),HPC,New,boot  (command <*>),0.7701740264892578,93,11
wait  (command 3612),wait (command <*>),HPC,New,wait  (command <*>),0.9016561508178711,93,11
boot  (command 3615),boot (command <*>),HPC,New,boot  (command <*>),0.9426624774932861,93,11
wait  (command 3609),wait (command <*>),HPC,New,wait  (command <*>),1.111124038696289,93,11
boot  (command 3624),boot (command <*>),HPC,New,boot  (command <*>),0.7801051139831543,93,11
wait  (command 3649),wait (command <*>),HPC,New,wait  (command <*>),0.6806626319885254,93,11
boot  (command 3639),boot (command <*>),HPC,New,boot (command <*>),0.9184627532958984,93,10
wait  (command 3690),wait (command <*>),HPC,New,wait  (command <*>),0.5912880897521973,93,11
boot  (command 3696),boot (command <*>),HPC,New,boot (command <*>),0.7095611095428467,93,10
wait  (command 3698),wait (command <*>),HPC,New,wait  (command <*>),0.7083747386932373,93,11
wait  (command 3709),wait (command <*>),HPC,New,wait  (command <*>),0.9470415115356445,93,11
wait  (command 3837),wait (command <*>),HPC,New,wait  (command <*>),0.6586041450500488,93,11
wait  (command 3847),wait (command <*>),HPC,New,wait  (command <*>),1.0375492572784424,93,11
boot  (command 3951),boot (command <*>),HPC,New,boot  (command <*>),0.8100447654724121,93,11
boot  (command 3928),boot (command <*>),HPC,New,boot  (command <*>),0.902106761932373,93,11
boot  (command 3939),boot (command <*>),HPC,New,boot (command <*>),0.810157299041748,93,10
boot  (command 3964),boot (command <*>),HPC,New,boot  (command <*>),1.173304557800293,93,11
wait  (command 3973),wait (command <*>),HPC,New,wait  (command <*>),0.9460155963897705,93,11
wait  (command 3981),wait (command <*>),HPC,New,wait  (command <*>),0.8519325256347656,93,11
wait  (command 3981),wait (command <*>),HPC,New,wait  (command <*>),0.6801352500915527,93,11
boot  (command 4024),boot (command <*>),HPC,New,boot  (command <*>),1.0111627578735352,93,11
wait  (command 4061),wait (command <*>),HPC,New,wait  (command <*>),0.7297506332397461,93,11
wait  (command 4110),wait (command <*>),HPC,New,wait  (command <*>),0.7786507606506348,93,11
boot  (command 4118),boot (command <*>),HPC,New,boot (command <*>),0.9344754219055176,93,10
wait  (command 4116),wait (command <*>),HPC,New,wait  (command <*>),0.7713441848754883,93,11
wait  (command 4117),wait (command <*>),HPC,New,wait  (command <*>),0.6763427257537842,93,11
boot  (command 4109),boot (command <*>),HPC,New,boot (command <*>),0.8433191776275635,93,10
wait  (command 4145),wait (command <*>),HPC,New,wait  (command <*>),0.7826902866363525,93,11
boot  (command 4176),boot (command <*>),HPC,New,boot  (command <*>),0.6229550838470459,93,11
boot  (command 4170),boot (command <*>),HPC,New,boot (command <*>),0.9793233871459961,93,10
wait  (command 4176),wait (command <*>),HPC,New,wait  (command <*>),0.8924698829650879,93,11
wait  (command 4176),wait (command <*>),HPC,New,wait  (command <*>),0.7541487216949463,93,11
bootGenvmunix  (command 4185),bootGenvmunix (command <*>),HPC,New,bootGenvmunix (command <*>),0.9312610626220703,97,14
boot  (command 4223),boot (command <*>),HPC,New,boot (command <*>),0.7464125156402588,93,10
wait  (command 4221),wait (command <*>),HPC,New,wait  (command <*>),1.6685762405395508,93,11
wait  (command 4219),wait (command <*>),HPC,New,wait  (command <*>),0.8452472686767578,93,11
Command has completed successfully,Command has completed successfully,HPC,New,Command has completed successfully,0.6257398128509521,89,8
Command has completed successfully,Command has completed successfully,HPC,New,Command has completed successfully,0.5944156646728516,89,8
Command has completed successfully,Command has completed successfully,HPC,New,Command has completed successfully,0.7458219528198242,89,8
Command has completed successfully,Command has completed successfully,HPC,New,Command has completed successfully,4.186391353607178,89,8
Command has completed successfully,Command has completed successfully,HPC,New,Command has completed successfully,0.8048603534698486,89,8
Command has completed successfully,Command has completed successfully,HPC,New,Command has completed successfully,0.8614766597747803,89,8
Command has completed successfully,Command has completed successfully,HPC,New,Command has completed successfully,0.629326581954956,89,8
Command has completed successfully,Command has completed successfully,HPC,New,Command has completed successfully,0.5867645740509033,89,8
Command has completed successfully,Command has completed successfully,HPC,New,Command has completed successfully,0.8202931880950928,89,8
Command has completed successfully,Command has completed successfully,HPC,New,Command has completed successfully,0.5925688743591309,89,8
Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,Targeting domains:node-<*> and nodes:node-[<*>-<*>] child of command <*>,HPC,New,Targeting domains:<*> and nodes:<*> child of command <*>,0.6658053398132324,107,17
Targeting domains:node-D4 and nodes:node-[136-159] child of command 1964,Targeting domains:node-<*> and nodes:node-[<*>-<*>] child of command <*>,HPC,New,Targeting domains:<*> and nodes:<*> child of command <*>,0.6412770748138428,107,17
Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],Targeting domains:node-<*> nodes:node-<*>,HPC,New,Targeting domains:<*> and nodes:<*>,1.1528332233428955,105,13
Targeting domains:node-D4 and nodes:node-[128-135] child of command 2401,Targeting domains:node-<*> and nodes:node-[<*>-<*>] child of command <*>,HPC,New,Targeting domains:<*> and nodes:<*> child of command <*>,0.8044734001159668,107,17
Targeting domains:node-D0 and nodes:node-[8-31] child of command 2489,Targeting domains:node-<*> and nodes:node-[<*>-<*>] child of command <*>,HPC,New,Targeting domains:<*> and nodes:<*> child of command <*>,0.7234838008880615,107,17
Targeting domains:node-D0 and nodes:node-0,Targeting domains:node-<*> nodes:node-<*>,HPC,New,Targeting domains:<*> and nodes:<*>,0.8255627155303955,98,13
