Content,EventTemplate,Dataset,Category,GPT_Temp_2,GPT_Time_2,GPT_In_Tokens_2,GPT_Out_Tokens_2
generating core.2275,generating core.<*>,BGL,Unseen,generating core.<*>,0.6999387741088867,91,9
generating core.862,generating core.<*>,BGL,Unseen,generating core.<*>,0.6132194995880127,90,9
generating core.728,generating core.<*>,BGL,Unseen,generating core.<*>,0.6481702327728271,90,9
generating core.775,generating core.<*>,BGL,Unseen,generating core.<*>,0.5616481304168701,90,9
generating core.3276,generating core.<*>,BGL,Unseen,generating core.<*>,0.5184309482574463,91,9
generating core.1717,generating core.<*>,BGL,Unseen,generating core.<*>,0.6007552146911621,91,9
generating core.3919,generating core.<*>,BGL,Unseen,generating core.<*>,0.6581993103027344,91,9
generating core.2079,generating core.<*>,BGL,Unseen,generating core.<*>,0.6543779373168945,91,9
generating core.1414,generating core.<*>,BGL,Unseen,generating core.<*>,0.6637957096099854,91,9
generating core.3055,generating core.<*>,BGL,Unseen,generating core.<*>,0.7079100608825684,91,9
generating core.201,generating core.<*>,BGL,Unseen,generating core.<*>,0.7989108562469482,90,9
generating core.1125,generating core.<*>,BGL,Unseen,generating core.<*>,0.6441607475280762,91,9
generating core.412,generating core.<*>,BGL,Unseen,generating core.<*>,0.6642279624938965,90,9
generating core.7828,generating core.<*>,BGL,Unseen,generating core.<*>,0.7794020175933838,91,9
generating core.5570,generating core.<*>,BGL,Unseen,generating core.<*>,0.575023889541626,91,9
generating core.8275,generating core.<*>,BGL,Unseen,generating core.<*>,0.7326617240905762,91,9
generating core.4183,generating core.<*>,BGL,Unseen,generating core.<*>,0.5599689483642578,91,9
generating core.6545,generating core.<*>,BGL,Unseen,generating core.<*>,0.4817769527435303,91,9
generating core.4245,generating core.<*>,BGL,Unseen,generating core.<*>,5.1832664012908936,91,9
generating core.6884,generating core.<*>,BGL,Unseen,generating core.<*>,0.6827366352081299,91,9
generating core.6471,generating core.<*>,BGL,Unseen,generating core.<*>,0.9433071613311768,91,9
generating core.4155,generating core.<*>,BGL,Unseen,generating core.<*>,3.968895435333252,91,9
generating core.449,generating core.<*>,BGL,Unseen,generating core.<*>,0.6944580078125,90,9
generating core.6990,generating core.<*>,BGL,Unseen,generating core.<*>,0.7090423107147217,91,9
generating core.4876,generating core.<*>,BGL,Unseen,generating core.<*>,0.6997959613800049,91,9
generating core.2218,generating core.<*>,BGL,Unseen,generating core.<*>,0.5638749599456787,91,9
generating core.7518,generating core.<*>,BGL,Unseen,generating core.<*>,0.7727389335632324,91,9
generating core.5854,generating core.<*>,BGL,Unseen,generating core.<*>,0.7173604965209961,91,9
generating core.7457,generating core.<*>,BGL,Unseen,generating core.<*>,0.6230113506317139,91,9
generating core.6896,generating core.<*>,BGL,Unseen,generating core.<*>,0.5417757034301758,91,9
generating core.3488,generating core.<*>,BGL,Unseen,generating core.<*>,0.5769903659820557,91,9
generating core.1172,generating core.<*>,BGL,Unseen,generating core.<*>,0.7473876476287842,91,9
generating core.2286,generating core.<*>,BGL,Unseen,generating core.<*>,0.6379232406616211,91,9
generating core.786,generating core.<*>,BGL,Unseen,generating core.<*>,0.7000961303710938,90,9
generating core.2680,generating core.<*>,BGL,Unseen,generating core.<*>,0.9261584281921387,91,9
generating core.1524,generating core.<*>,BGL,Unseen,generating core.<*>,0.6957006454467773,91,9
generating core.4937,generating core.<*>,BGL,Unseen,generating core.<*>,0.6963667869567871,91,9
generating core.6801,generating core.<*>,BGL,Unseen,generating core.<*>,0.553246259689331,91,9
generating core.4368,generating core.<*>,BGL,Unseen,generating core.<*>,0.7383618354797363,91,9
generating core.851,generating core.<*>,BGL,Unseen,generating core.<*>,0.6502439975738525,90,9
generating core.1744,generating core.<*>,BGL,Unseen,generating core.<*>,0.7762167453765869,91,9
generating core.1588,generating core.<*>,BGL,Unseen,generating core.<*>,1.1709802150726318,91,9
generating core.5307,generating core.<*>,BGL,Unseen,generating core.<*>,0.8390696048736572,91,9
generating core.7192,generating core.<*>,BGL,Unseen,generating core.<*>,1.1712608337402344,91,9
generating core.430,generating core.<*>,BGL,Unseen,generating core.<*>,0.5656800270080566,90,9
generating core.174,generating core.<*>,BGL,Unseen,generating core.<*>,0.6265435218811035,90,9
generating core.976,generating core.<*>,BGL,Unseen,generating core.<*>,0.9618508815765381,90,9
generating core.1990,generating core.<*>,BGL,Unseen,generating core.<*>,0.7612714767456055,91,9
generating core.3638,generating core.<*>,BGL,Unseen,generating core.<*>,0.7604372501373291,91,9
generating core.2690,generating core.<*>,BGL,Unseen,generating core.<*>,0.5562756061553955,91,9
