Content,EventTemplate,Dataset,Category,New_LLAMA_2S_HPC_1,Inference_time_5,Inference_time_1,New_LLAMA_2S_HPC_1_TempOnly
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component \042SCSI-WWID:<*>:<*>-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973)

### Response:
Component State Change: Component \042SCSI-W",0.0,5.55553412437439,Component State Change: Component \042SCSI-WWID:<*>:<*>-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",0.0,5.491671562194824,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",0.0,5.524070739746094,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (<*>),0.0,0.8355734348297119,Component State Change: Component <*> is in the unavailable state (<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",0.0,5.523715972900391,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Output:
Template: Component State Change: Component <*> is in the unavailable state (HWID=<*>)
",0.0,1.951108455657959,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",0.0,5.582302093505859,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response:
Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response:
Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",0.0,5.5417211055755615,Extracted template: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*0*> is in the unavailable state (HWID=<*>)

### Input:
Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)

### Response:
Error =, LOGIN chdir",0.0,5.574979782104492,Component State Change: Component <*0*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)
",0.0,0.9853396415710448,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)
"
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the available state (HWID=4159)

### Response:
Component State Change: Component <*> is in the available state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",0.0,5.532941102981567,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt1\042 is in the available state (HWID=2608)

### Response:
Component State Change: Component <*> is in the available state (HWID=<*>)

### Input:
Component State Change: Component \042alt2\042 is in the unavailable state (HWID=2608)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",0.0,5.575194835662842,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,"clusterAddMember  (<*>)

### Input:
clusterAddMember  (command 1902)  (failed)

### Response:
clusterAddMember  (<*>)

### Input:
clusterAddMember  (command 1902)  (failed)  (failed)

### Response:
clusterAddMember  (<*>)

### Input:
clusterAddMember  (command 1902)  (failed)  (failed)  (failed)

### Response:
clusterAddMember  (<*>)

### Input:
clusterAddMember  (command 1902)  (failed)  (failed",0.0,5.5179994106292725,clusterAddMember  (<*>)
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,"clusterAddMember  (command <*>)

",0.0,0.5792942047119141,clusterAddMember  (command <*>)
risBoot  (command 1903),risBoot (command <*>),HPC,New,"Error =, risBoot (command 1903) failed: No such file at 10.10.34.20:56374 point [risBoot], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
",0.0,3.0331051349639893,"Error =, risBoot (command 1903) failed: No such file at 10.10.34.20:56374 point [risBoot], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
"
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,"Error =, LOGIN chdir(<*>) failed: No such file at <*>:<*> point [<*>], connect to proxy <*>:<*> to renew session (<*>)
",0.0,1.7389702796936035,"Error =, LOGIN chdir(<*>) failed: No such file at <*>:<*> point [<*>], connect to proxy <*>:<*> to renew session (<*>)
"
boot  (command 1911),boot (command <*>),HPC,New,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
",0.0,4.203980445861816,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
"
boot  (command 1910),boot (command <*>),HPC,New,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
",0.0,4.195390701293945,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
"
boot  (command 1978),boot (command <*>),HPC,New,"boot  (command 1978)
",0.0,0.5813663005828857,"boot  (command 1978)
"
