Content,EventTemplate,Dataset,Category,New_LLAMA_2S_HPC_5,Inference_time_5,New_LLAMA_2S_HPC_5_TempOnly
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Extracted template: Component \042SCSI-WWID:<*>:<*>-<*>-<*>-<*>-<*>-<*>-<*>\042 is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973)

### Response:
Extracted template: Component \042SCSI-WW",8.72565221786499,Extracted template: Component \042SCSI-WWID:<*>:<*>-<*>-<*>-<*>-<*>-<*>-<*>\042 is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*><*><*> is in the unavailable state (HWID=<*><*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Component State Change: Component <*><*><*> is in the unavailable state (HWID=<*><*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Component State Change: Component <*><*><*> is in the unavailable state (",5.679874897003174,Component State Change: Component <*><*><*> is in the unavailable state (HWID=<*><*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Output:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Explanation:
The variable elements in the log message are: alt0, unavailable state, HWID=5089. We replace these elements with placeholders '<*>'. The resulting template is: Component <*> is in the unavailable state (HWID=<*>).

### Input:
Event 102: The disk /dev/sda is full

### Response:
Extracted template: Event <*>:",5.654853105545044,Extracted template: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*>
is in the unavailable state (HWID=<*>)

### Input:
Message from nodes 10.0 and 10.1 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)

### Response:
Message from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)

### Input:",5.650593280792236,"Component State Change: Component <*>
is in the unavailable state (HWID=<*>)"
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*>\042\042 is in the unavailable state (HWID=<*>)
",1.165947198867798,"Component State Change: Component <*>\042\042 is in the unavailable state (HWID=<*>)
"
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.906536340713501,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.7553322315216064,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*>\042<*>\042 is in the unavailable state (HWID=<*>),1.245741844177246,Component State Change: Component <*>\042<*>\042 is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*0*> is in the unavailable state (HWID=<*>)

### Input:
System error: File \042/home/jack/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST\042 does not exist.

### Response:
System error: File <*> does not exist.

### Input:
System error: File \042/home/jack/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST\042 does not exist.

### Response:
System error: File <*> does",5.7496654987335205,Component State Change: Component <*0*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.0437335968017578,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
