Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_Hadoop_3,Inference_time_3,Unseen_LLAMA_2S_Hadoop_3_TempOnly
Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler
",1.345956563949585,"Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler
"
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Error =, REGISTERING class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher",1.920668125152588,"Error =, REGISTERING class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher"
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Extracted template: Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher

### Input:
2018-04-18 12:09:31,327 INFO org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventDispatcher: TaskEventDispatcher: received event of type org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType, task attemptId=task_1524017219687_0001_m_000000_0, eventType=STARTED, priority=",5.812995910644531,Extracted template: Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,Extracted template: Registering class <> for class <>,0.7572314739227295,Extracted template: Registering class <> for class <>
Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,Registering class <> for class <>,0.5495188236236572,Registering class <> for class <>
Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,Extracted template: Registering class <> for class <>,0.7476027011871338,Extracted template: Registering class <> for class <>
Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Extracted template: Registering class <> for class <>

### Input:
ERROR: Error creating directory /tmp/hadoop-hadoop/mapred/local/taskTracker/hadoop-hadoop/attempt_201209221057_0007_m_000000_0/work

### Response:
Extracted template: ERROR: Error creating directory <>

### Input:
WARN: Error creating directory /tmp/hadoop-hadoop/mapred/local/taskTracker/hadoop-hadoop/attempt_201209221057_0007_m_000000_0/work

### Response:
Extracted template: WARN: Error creating directory",5.810279846191406,Extracted template: Registering class <> for class <>
Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Extracted template: Registering class <> for class <>
",0.7534239292144775,"Extracted template: Registering class <> for class <>
"
Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>:<*>],Hadoop,Unseen,"Default file system <>

### Hint:
You may use the following online tool to help you with the template extraction: https://www.loggly.com/blog/regex-for-log-file-parsing/

### Solution:
Default file system <>
",2.292806625366211,Default file system <>
Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>:<*>],Hadoop,Unseen,"1. Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
2. ciod: In packet from nodes 91.0 and node-234 (R62-M1-Nf-C:J03-U",5.72920036315918,"1. Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
2. ciod: In packet from nodes 91.0 and node-234 (R62-M1-Nf-C:J03-U"
Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>:<*>],Hadoop,Unseen,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
",4.3547303676605225,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
"
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Extracted template: Registering class <> for class <>

### Input:
[2014-05-05 00:00:00,000] WARN org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: Task: attempt_1400_0002_m_000000_0 failed, info=org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl$TaskAttemptReportImpl@4c2f9f5b

### Response:
Extracted template: Task: attempt_<*>_<*>_<*> failed, info=<>",5.524927139282227,Extracted template: Registering class <> for class <>
