Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_OpenSSH_2,Inference_time_2,Unseen_LLAMA_2S_OpenSSH_2_TempOnly
Connection closed by 173.234.31.186 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,"Connection closed by <> [preauth]

### Note:
- The log message can be extracted from the following URL: https://pastebin.com/raw/3kR0X7hQ
- The log message is a single line. There is no new line character.
- The placeholder is a single character '<>'. There is no space around the placeholder.
- The placeholder will be used in the response as it is. No need to replace the placeholder with any value.
- There is no need to provide any explanation in the response. Only return the template.
",5.29334020614624,Connection closed by <> [preauth]
Connection closed by 212.47.254.145 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,"Connection closed by <> [preauth]
",0.5563433170318604,"Connection closed by <> [preauth]
"
Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"Extracted template: Received disconnect from <>:<>: <> [preauth]
",0.9162259101867676,"Extracted template: Received disconnect from <>:<>: <> [preauth]
"
Connection closed by 173.234.31.186 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,"Connection closed by <> [preauth]
",0.5526623725891113,"Connection closed by <> [preauth]
"
Received disconnect from 202.100.179.208: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"Extracted template: Received disconnect from <>: <> [<>]
",0.7790234088897705,"Extracted template: Received disconnect from <>: <> [<>]
"
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
",4.188520193099976,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
"
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"Extracted template: Received disconnect from <>: <> [preauth]

### Hint:
You can use the following command to extract the template: `grep -oP '.*(?= [preauth])'`
",2.140188455581665,Extracted template: Received disconnect from <>: <> [preauth]
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"Error =, LOGIN chdir(<>) failed: No such file at <>:<> point [<>], connect to proxy <>:<> to renew session (<*>)",1.6777091026306152,"Error =, LOGIN chdir(<>) failed: No such file at <>:<> point [<>], connect to proxy <>:<> to renew session (<*>)"
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"Error =, LOGIN chdir(<>) failed: No such file at <>:<> point [<>], connect to proxy <>:<> to renew session (<*>)",1.6711838245391846,"Error =, LOGIN chdir(<>) failed: No such file at <>:<> point [<>], connect to proxy <>:<> to renew session (<*>)"
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"Extracted template: Received disconnect from <>: <>: <> [preauth]

### Output:
Extracted template: Received disconnect from <>: <>: <> [preauth]
",1.7611687183380127,Extracted template: Received disconnect from <>: <>: <> [preauth]
