Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_Zookeeper_5,Inference_time_5,Unseen_LLAMA_2S_Zookeeper_5_TempOnly
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id, my id =, error =",0.7150421142578125,"Connection broken for id, my id =, error ="
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id, my id =, error =

### Example:
Log message: Error = 2, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
Extracted template: Error =, LOGIN chdir(/home",5.72984766960144,"Connection broken for id, my id =, error ="
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = 1, error =

### Input:
Connection broken for id 188978561024, my id = 1, error = Connection broken for id 188978561024, my id = 1, error =

### Response:
Connection broken for id <>, my id = 1, error = Connection broken for id <>, my id = 1, error =

### Input:
Connection broken for id 188978561024, my id = 1, error = Connection broken for id 188978561024, my id = 1",5.718277931213379,"Connection broken for id <>, my id = 1, error ="
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = <>, error = <>

### Explanation:
The first element is 'Connection broken for id', the second element is'my id', the third element is 'error'. The placeholder for all three elements is '<>'.",2.604274272918701,"Connection broken for id <>, my id = <>, error = <>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = <>, error = <>

### Input:
Error = 1, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)

### Response:
Error = 1, LOGIN chdir",5.730500221252441,"Connection broken for id <>, my id = <>, error = <>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = 1, error = <>
",0.9408531188964844,"Connection broken for id <>, my id = 1, error = <>
"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = <>, error = <>

### Output:
Connection broken for id 188978561024, my id = 1, error = Connection broken for id 188978561024, my id = 1, error = Connection broken for id 188978561024, my id = 1, error = Connection broken for id 188978561024, my id = 1, error = Connection broken for id 188978561024, my id = 1, error = Connection broken for id 188978561024, my id",5.727209806442261,"Connection broken for id <>, my id = <>, error = <>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id, my id =, error =",0.7478177547454834,"Connection broken for id, my id =, error ="
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id, my id = 1, error =
",0.8127410411834717,"Connection broken for id, my id = 1, error =
"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = 1, error = <>

### Input:
Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)

### Response:
Error =, LOGIN chdir(<>) failed",5.716920852661133,"Connection broken for id <>, my id = 1, error = <>"
