Content,EventTemplate,Dataset,Category,New_LLAMA_FT_HPC_5,Inference_time_5
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,4.67329478263855
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2464418411254883
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.239351511001587
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2483677864074707
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2639708518981934
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2375831604003906
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2408151626586914
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.247835397720337
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,1.17698073387146
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2441818714141846
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2551453113555908
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2494797706604004
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,,0.7729012966156006
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,,0.6988217830657959
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot  (command <*>),0.6124505996704102
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix  (command <*>),0.8360481262207031
boot  (command 1911),boot (command <*>),HPC,New,boot  (command <*>),0.5493931770324707
boot  (command 1910),boot (command <*>),HPC,New,boot  (command <*>),0.5435755252838135
boot  (command 1978),boot (command <*>),HPC,New,boot  (command <*>),0.5475661754608154
boot  (command 1967),boot (command <*>),HPC,New,boot  (command <*>),0.5457653999328613
