Content,EventTemplate,Dataset,Category,Unseen_Mistral_2S_Linux_4,Inference_time_4,Unseen_Mistral_2S_Linux_4_TempOnly
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>) at <*>:<*>:<*>,Linux,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",2.0877580642700195,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>) at <*>:<*>:<*>,Linux,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",2.089046001434326,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>) at <*>:<*>:<*>,Linux,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",2.1317026615142822,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>) at <*>:<*>:<*>,Linux,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",2.0944125652313232,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>) at <*>:<*>:<*>,Linux,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",2.0797619819641118,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>) at <*>:<*>:<*>,Linux,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",2.0891001224517822,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,connection from <*> (<*>) at <*>:<*>:<*>,Linux,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",2.1019108295440674,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,connection from <*> (<*>) at <*>:<*>:<*>,Linux,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",2.1319940090179443,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from <*> (<*>) at <*>:<*>:<*>,Linux,Unseen,"connection from <*> (<*>) at <*>

### Input:
connection from 10.10.34.20 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005

### Response:
connection from <*> (<*>) at <*>

### Input:
connection from 10.10.",5.357456207275391,connection from <*> (<*>) at <*>
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from <*> (<*>) at <*>:<*>:<*>,Linux,Unseen,"connection from <*> (<*>) at <*>

### Input:
connection from 10.10.34.20 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005

### Response:
connection from <*> (<*>) at <*>

### Input:
connection from 10.10.",5.352294445037842,connection from <*> (<*>) at <*>
