Content,EventTemplate,Dataset,Category,Unseen_Mistral_2S_OpenStack_1,Inference_time_1,Unseen_Mistral_2S_OpenStack_1_TempOnly
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2477829","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request method: GET
- The requested URL: /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail",8.528733730316162,GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2577181","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.534762620925903,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2731631","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.509871959686279,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580249","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.519380807876587,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2727931","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.538941383361816,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2642131","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>

### Explanation:
The input log message is a web server log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request method: GET
- The requested URL: /v2/54fadb412c4e40cdbaed9335e4c35a9e/",5.507609605789185,GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.4256971","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>

### Explanation:
The input log message is a web server log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request method: GET
- The requested URL: /v2/54fadb412c4e40cdbaed9335e4c35a9e/",5.555738687515259,GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2661140","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.54298996925354,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,Active base files: <*>,OpenStack,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.468379259109497,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2563808","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.47590708732605,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580891","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request method: GET
- The requested URL: /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail",5.481971740722656,GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2733629","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request method: GET
- The requested URL: /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail",5.465940713882446,GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2694771","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.5279459953308105,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2692339","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.477582931518555,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
