Content,EventTemplate,Dataset,Category,Unseen_Mistral_FT_BGL_5,Inference_time_5
generating core.2275,generating core.<*>,BGL,Unseen,generating core.<*>,0.5023260116577148
generating core.862,generating core.<*>,BGL,Unseen,generating core.<*>,0.4983513355255127
generating core.728,generating core.<*>,BGL,Unseen,generating core.<*>,0.4992208480834961
generating core.775,generating core.<*>,BGL,Unseen,generating core.<*>,0.5400424003601074
generating core.3276,generating core.<*>,BGL,Unseen,generating core.<*>,0.5342371463775635
generating core.1717,generating core.<*>,BGL,Unseen,generating core.<*>,0.4926793575286865
generating core.3919,generating core.<*>,BGL,Unseen,generating core.<*>,0.5025148391723633
generating core.2079,generating core.<*>,BGL,Unseen,generating core.<*>,0.4948995113372803
generating core.1414,generating core.<*>,BGL,Unseen,generating core.<*>,0.5070726871490479
generating core.3055,generating core.<*>,BGL,Unseen,generating core.<*>,0.49224233627319336
generating core.201,generating core.<*>,BGL,Unseen,generating core.<*>,0.4937410354614258
generating core.1125,generating core.<*>,BGL,Unseen,generating core.<*>,0.4918351173400879
generating core.412,generating core.<*>,BGL,Unseen,generating core.<*>,0.49884462356567383
generating core.7828,generating core.<*>,BGL,Unseen,generating core.<*>,0.4998342990875244
generating core.5570,generating core.<*>,BGL,Unseen,generating core.<*>,0.4951786994934082
generating core.8275,generating core.<*>,BGL,Unseen,generating core.<*>,0.5029268264770508
generating core.4183,generating core.<*>,BGL,Unseen,generating core.<*>,0.5115971565246582
generating core.6545,generating core.<*>,BGL,Unseen,generating core.<*>,0.4941854476928711
generating core.4245,generating core.<*>,BGL,Unseen,generating core.<*>,0.5060100555419922
generating core.6884,generating core.<*>,BGL,Unseen,generating core.<*>,0.49407196044921875
generating core.6471,generating core.<*>,BGL,Unseen,generating core.<*>,0.5144200325012207
generating core.4155,generating core.<*>,BGL,Unseen,generating core.<*>,0.4959874153137207
generating core.449,generating core.<*>,BGL,Unseen,generating core.<*>,0.5102770328521729
generating core.6990,generating core.<*>,BGL,Unseen,generating core.<*>,0.48856449127197266
generating core.4876,generating core.<*>,BGL,Unseen,generating core.<*>,0.4843926429748535
generating core.2218,generating core.<*>,BGL,Unseen,generating core.<*>,0.4880952835083008
generating core.7518,generating core.<*>,BGL,Unseen,generating core.<*>,0.5127911567687988
generating core.5854,generating core.<*>,BGL,Unseen,generating core.<*>,0.4920070171356201
generating core.7457,generating core.<*>,BGL,Unseen,generating core.<*>,0.5045137405395508
generating core.6896,generating core.<*>,BGL,Unseen,generating core.<*>,0.49038243293762207
generating core.3488,generating core.<*>,BGL,Unseen,generating core.<*>,0.49135494232177734
generating core.1172,generating core.<*>,BGL,Unseen,generating core.<*>,0.49167633056640625
generating core.2286,generating core.<*>,BGL,Unseen,generating core.<*>,0.49041128158569336
