Content,EventTemplate,Dataset,Category,Unseen_Mistral_FT_Spark_3,Inference_time_3
Starting remoting,Starting remoting,Spark,Unseen,Starting remoting,3.385246515274048
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],Remoting started; listening on addresses :[akka.tcp://<*>],Spark,Unseen,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@<*>:<*>],1.8357505798339844
Starting executor ID 5 on host mesos-slave-07,Starting executor ID <*> on host <*>,Spark,Unseen,Starting executor ID <*> on host <*>,0.8795244693756104
Registered BlockManager,Registered BlockManager,Spark,Unseen,Registered BlockManager,0.436845064163208
Running task 0.0 in stage 0.0 (TID 0),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),1.0627806186676025
Running task 2.0 in stage 0.0 (TID 2),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),1.0644328594207764
Running task 1.0 in stage 0.0 (TID 1),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),1.0550713539123535
Running task 3.0 in stage 0.0 (TID 3),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),1.077599287033081
Running task 4.0 in stage 0.0 (TID 4),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),1.0537152290344238
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",Spark,Unseen,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",1.5643718242645264
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.559462547302246
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.5816967487335205
Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.5716757774353027
Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.5692293643951416
Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.5705070495605469
Running task 0.0 in stage 1.0 (TID 42),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),1.0600309371948242
