Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_BGL_1,Inference_time_1,Unseen_Mistral_ZS_BGL_1_TempOnly
generating core.2275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275",8.373485565185547,generating <*>
generating core.862,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:",5.269655704498291,generating <*>
generating core.728,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:",5.316942930221558,generating <*>
generating core.775,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core",5.275302171707153,<*> generating core.<*>
generating core.3276,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276",5.311439514160156,generating <*>
generating core.1717,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717",5.30830717086792,generating <*>
generating core.3919,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919",5.296783685684204,generating <*>
generating core.2079,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079",5.251089334487915,generating <*>
generating core.1414,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414",5.3293776512146,generating <*>
generating core.3055,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055",5.297441244125366,generating <*>
