Content,EventTemplate,Dataset,Category
instruction cache parity error corrected,instruction cache parity error corrected,BGL,SeenTemplate
111990296 double-hummer alignment exceptions,<*> double-hummer alignment exceptions,BGL,SeenTemplate
"CE sym 25, at 0x155e28e0, mask 0x08","CE sym <*>, at <*>, mask <*>",BGL,SeenTemplate
ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:41304: Link has been severed,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>:<*>: Link has been severed,BGL,SeenTemplate
disable store gathering..................0,disable store gathering..................<*>,BGL,SeenTemplate
ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,BGL,SeenTemplate
ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.08) failed: No such file or directory,ciod: LOGIN chdir(<*>) failed: No such file or directory,BGL,SeenTemplate
"1 ddr errors(s) detected and corrected on rank 0, symbol 33, bit 7","<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",BGL,SeenTemplate
data TLB error interrupt,data TLB error interrupt,BGL,SeenTemplate
instruction address: 0x00004ed8,instruction address: <*>,BGL,SeenTemplate
machine check: i-fetch......................0,machine check: i-fetch......................<*>,BGL,SeenTemplate
program interrupt: illegal instruction......0,program interrupt: illegal instruction......<*>,BGL,SeenTemplate
core configuration register: 0x00002000,core configuration register: <*>,BGL,SeenTemplate
program interrupt: imprecise exception......0,program interrupt: imprecise exception......<*>,BGL,SeenTemplate
"problem state (0=sup,1=usr).......0","problem state (<*>=sup,<*>=usr).......<*>",BGL,SeenTemplate
floating point instr. enabled.....1,floating point instr. enabled.....<*>,BGL,SeenTemplate
auxiliary processor.........................0,auxiliary processor.........................<*>,BGL,SeenTemplate
floating pt ex mode 0 enable......0,floating pt ex mode <*> enable......<*>,BGL,SeenTemplate
program interrupt: unimplemented operation..0,program interrupt: unimplemented operation..<*>,BGL,SeenTemplate
guaranteed instruction cache block touch.0,guaranteed instruction cache block touch.<*>,BGL,SeenTemplate
program interrupt: fp cr field .............0,program interrupt: fp cr field .............<*>,BGL,SeenTemplate
icache prefetch threshold................0,icache prefetch threshold................<*>,BGL,SeenTemplate
wait state enable.................0,wait state enable.................<*>,BGL,SeenTemplate
rts: kernel terminated for reason 1004,rts: kernel terminated for reason <*>,BGL,SeenTemplate
"ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error","ciod: Error loading <*>: invalid or missing program image, Exec format error",BGL,SeenTemplate
ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor,ciod: Error creating node map from file <*>: Bad file descriptor,BGL,SeenTemplate
Node card is not fully functional,Node card is not fully functional,BGL,SeenTemplate
Ido chip status changed: FF:F2:9F:15:7B:E0:00:0D:60:EA:84:1F ip=10.7.0.130 v=13 t=1 status=M Sat Sep 17 07:49:04 PDT 2005,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>,BGL,SeenTemplate
ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/mapfiles/bgl.128mps.f64.map,ciod: Missing or invalid fields on line <*> of node map file <*>,BGL,SeenTemplate
1 torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected,BGL,SeenTemplate
ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required,ciod: Error creating node map from file <*>: Block device required,BGL,SeenTemplate
ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,ciod: Error creating node map from file <*>: Permission denied,BGL,SeenTemplate
New ido chip inserted into the database: FF:F2:9F:15:1F:72:00:0D:60:EA:E0:8D ip=10.7.0.13 v=9 t=2,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,BGL,SeenTemplate
"Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.","Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*> volt rail is OK. The <*> volt rail is OK.",BGL,SeenTemplate
"Node card VPD check: U11 node in processor card slot J18 do not match. VPD ecid 04CC81389C2FFFFF03071B7048DF, found 04D780871F2FFFFF08031BD046E2","Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*>, found <*>",BGL,SeenTemplate
"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",BGL,SeenTemplate
"PrepareForService shutting down Node card(mLctn(R10-M1-N2), mCardSernum(203231503833343000000000594c31304b34323934303257), mLp(FF:F2:9F:16:E0:DA:00:0D:60:E9:1F:25), mIp(10.1.1.164), mType(4)) as part of Service Action 648","PrepareForService shutting down Node card(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",BGL,SeenTemplate
1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,BGL,SeenTemplate
"NFS Mount failed on bglio91, slept 15 seconds, retrying (1)","NFS Mount failed on <*>, slept <*> seconds, retrying (<*>)",BGL,SeenTemplate
Lustre mount FAILED : bglio46 : point /p/gb1,Lustre mount FAILED : <*> : point <*>,BGL,SeenTemplate
"ciod: In packet from node 91.0 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)","ciod: In packet from node <*> (<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",BGL,SeenTemplate
"critical input interrupt (unit=0x0b bit=0x0a): warning for torus z+ wire, suppressing further interrupts of same type","critical input interrupt (unit=<*> bit=<*>): warning for torus z+ wire, suppressing further interrupts of same type",BGL,SeenTemplate
"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=0064588e 8aff0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007","Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",BGL,SeenTemplate
shutdown complete,shutdown complete,BGL,SeenTemplate
18507114 torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over 198 seconds,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds,BGL,SeenTemplate
"ciod: Received signal 15, code=0, errno=0, address=0x000001f2","ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",BGL,SeenTemplate
Lustre mount FAILED : bglio78 : block_id : location,Lustre mount FAILED : <*> : block_id : location,BGL,SeenTemplate
MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),MACHINE CHECK DCR read timeout (mc=<*> iar <*> lr <*>),BGL,SeenTemplate
dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x40002000,dbcr0=<*> dbsr=<*> ccr0=<*>,BGL,SeenTemplate
r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000,r24=<*> r25=<*> r26=<*> r27=<*>,BGL,SeenTemplate
0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,BGL,SeenTemplate
"Kernel detected 3747792 integer alignment exceptions (3747785) iar 0x00544ea8, dear 0x01fc9220 (3747786) iar 0x00544eb8, dear 0x01fc9240 (3747787) iar 0x00544ea8, dear 0x01fc9260 (3747788) iar 0x00544eb8, dear 0x01fc9280 (3747789) iar 0x00544ee0, dear 0x01fc92a0 (3747790) iar 0x00544ef0, dear 0x01fc92c0 (3747791) iar 0x00544ee0, dear 0x01fc92e0 (3747792) iar 0x00544ef0, dear 0x01fc9300","Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>",BGL,SeenTemplate
minus normalized number..................0,minus normalized number..................<*>,BGL,SeenTemplate
size of scratchpad portion of L3.........0 (0M),size of scratchpad portion of L3.........<*> (<*>),BGL,SeenTemplate
Created MRAppMaster for application appattempt_1445144423722_0020_000001,Created MRAppMaster for application <*>,Hadoop,SeenTemplate
Executing with tokens:,Executing with tokens:,Hadoop,SeenTemplate
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",Hadoop,SeenTemplate
Using mapred newApiCommitter.,Using mapred newApiCommitter.,Hadoop,SeenTemplate
OutputCommitter set in config null,OutputCommitter set in config <*>,Hadoop,SeenTemplate
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,Hadoop,SeenTemplate
Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,Hadoop,SeenTemplate
loaded properties from hadoop-metrics2.properties,loaded properties from hadoop-metrics2.properties,Hadoop,SeenTemplate
Scheduled snapshot period at 10 second(s).,Scheduled snapshot period at <*> second(s).,Hadoop,SeenTemplate
MRAppMaster metrics system started,MRAppMaster metrics system started,Hadoop,SeenTemplate
Auth successful for job_1445144423722_0020 (auth:SIMPLE),Auth successful for <*> (auth:SIMPLE),Hadoop,SeenTemplate
Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,Not uberizing <*> because: not enabled; too many maps; too much input;,Hadoop,SeenTemplate
Number of reduces for job job_1445144423722_0020 = 1,Number of reduces for job <*> = <*>,Hadoop,SeenTemplate
attempt_1445144423722_0020_m_000006_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> TaskAttempt Transitioned from NEW to UNASSIGNED,Hadoop,SeenTemplate
"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.","MRAppMaster launching normal, non-uberized, multi-container job <*>.",Hadoop,SeenTemplate
Using callQueue class java.util.concurrent.LinkedBlockingQueue,Using callQueue class java.util.concurrent.LinkedBlockingQueue,Hadoop,SeenTemplate
Starting Socket Reader #1 for port 62270,Starting Socket Reader #<*> for port <*>,Hadoop,SeenTemplate
Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Hadoop,SeenTemplate
Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368,Opening proxy : <*>:<*>,Hadoop,SeenTemplate
IPC Server Responder: starting,IPC Server Responder: starting,Hadoop,SeenTemplate
IPC Server listener on 62260: starting,IPC Server listener on <*>: starting,Hadoop,SeenTemplate
Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),Hadoop,SeenTemplate
Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,Hadoop,SeenTemplate
adding path spec: /ws/*,adding path spec: <*>,Hadoop,SeenTemplate
Jetty bound to port 62267,Jetty bound to port <*>,Hadoop,SeenTemplate
jetty-6.1.26,jetty-<*>,Hadoop,SeenTemplate
Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,Extract jar:file:<*> to <*>,Hadoop,SeenTemplate
Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:<*>,Hadoop,SeenTemplate
Web app /mapreduce started at 62267,Web app <*> started at <*>,Hadoop,SeenTemplate
Registered webapp guice modules,Registered webapp guice modules,Hadoop,SeenTemplate
nodeBlacklistingEnabled:true,nodeBlacklistingEnabled:<*>,Hadoop,SeenTemplate
blacklistDisablePercent is 33,blacklistDisablePercent is <*>,Hadoop,SeenTemplate
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>,Hadoop,SeenTemplate
"maxContainerCapability: <memory:8192, vCores:32>","maxContainerCapability: <memory:<*>, vCores:<*>>",Hadoop,SeenTemplate
queue: default,queue: default,Hadoop,SeenTemplate
Upper limit on the thread pool size is 500,Upper limit on the thread pool size is <*>,Hadoop,SeenTemplate
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to <*>,Hadoop,SeenTemplate
"reduceResourceRequest:<memory:1024, vCores:1>","reduceResourceRequest:<memory:<*>, vCores:<*>>",Hadoop,SeenTemplate
"Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist","Event Writer setup for JobId: <*>, File: hdfs://<*>",Hadoop,SeenTemplate
Before Scheduling: PendingReds:1 ScheduledMaps:0 ScheduledReds:0 AssignedMaps:10 AssignedReds:0 CompletedMaps:1 CompletedReds:0 ContAlloc:11 ContRel:1 HostLocal:7 RackLocal:3,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,Hadoop,SeenTemplate
Got allocated containers 1,Got allocated containers <*>,Hadoop,SeenTemplate
The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml,The job-conf file on the remote FS is <*>,Hadoop,SeenTemplate
Adding #0 tokens and #1 secret keys for NM use for launching container,Adding #<*> tokens and #<*> secret keys for NM use for launching container,Hadoop,SeenTemplate
Size of containertokens_dob is 1,Size of containertokens_dob is <*>,Hadoop,SeenTemplate
Putting shuffle token in serviceData,Putting shuffle token in serviceData,Hadoop,SeenTemplate
Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000005 taskAttempt attempt_1445144423722_0020_m_000003_0,Processing the event EventType: <*> for container <*> taskAttempt <*>,Hadoop,SeenTemplate
Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000006_0 : 13562,Shuffle port returned by ContainerManager for <*> : <*>,Hadoop,SeenTemplate
TaskAttempt: [attempt_1445144423722_0020_m_000005_0] using containerId: [container_1445144423722_0020_01_000007 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>:<*>],Hadoop,SeenTemplate
task_1445144423722_0020_m_000008 Task Transitioned from SCHEDULED to RUNNING,<*> Task Transitioned from SCHEDULED to RUNNING,Hadoop,SeenTemplate
ATTEMPT_START task_1445144423722_0020_m_000003,ATTEMPT_START <*>,Hadoop,SeenTemplate
JVM with ID : jvm_1445144423722_0020_m_000010 asked for a task,JVM with ID : <*> asked for a task,Hadoop,SeenTemplate
JVM with ID: jvm_1445144423722_0020_m_000003 given task: attempt_1445144423722_0020_m_000001_0,JVM with ID: <*> given task: <*>,Hadoop,SeenTemplate
Launching attempt_1445144423722_0020_m_000003_0,Launching <*>,Hadoop,SeenTemplate
"Cannot assign container Container: [ContainerId: container_1445144423722_0020_01_000012, NodeId: MSRA-SA-39.fareast.corp.microsoft.com:28345, NodeHttpAddress: MSRA-SA-39.fareast.corp.microsoft.com:8042, Resource: <memory:1024, vCores:1>, Priority: 20, Token: Token { kind: ContainerToken, service: 172.22.149.145:28345 }, ] for a map as either  container memory less than required <memory:1024, vCores:1> or no pending map tasks - maps.isEmpty=true","Cannot assign container Container: [ContainerId: <*>, NodeId: <*>:<*>, NodeHttpAddress: <*>:<*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*>:<*> }, ] for a map as either container memory less than required <memory:<*>, vCores:<*>> or no pending map tasks - maps.isEmpty=<*>",Hadoop,SeenTemplate
Container complete event for unknown container id container_1445144423722_0020_01_000012,Container complete event for unknown container id <*>,Hadoop,SeenTemplate
Num completed Tasks: 1,Num completed Tasks: <*>,Hadoop,SeenTemplate
All maps assigned. Ramping up all remaining reduces:1,All maps assigned. Ramping up all remaining reduces:<*>,Hadoop,SeenTemplate
DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_1445144423722_0020_m_000000,DefaultSpeculator.addSpeculativeAttempt -- we are speculating <*>,Hadoop,SeenTemplate
We launched 1 speculations.  Sleeping 15000 milliseconds.,We launched <*> speculations. Sleeping <*> milliseconds.,Hadoop,SeenTemplate
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 326 seconds.  Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Hadoop,SeenTemplate
"Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]","Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>:<*>, <*>:<*>]",Hadoop,SeenTemplate
DFSOutputStream ResponseProcessor exception  for block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731,DFSOutputStream ResponseProcessor exception for block BP-<*>:<*>,Hadoop,SeenTemplate
DataStreamer Exception,DataStreamer Exception,Hadoop,SeenTemplate
"Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: <*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)",Hadoop,SeenTemplate
Diagnostics report from attempt_1445144423722_0020_m_000001_0: Error: java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,Diagnostics report from <*>: Error: java.net.NoRouteToHostException: No Route to Host from MININT-<*>/<*> to <*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,Hadoop,SeenTemplate
Processing the event EventType: TASK_ABORT,Processing the event EventType: TASK_ABORT,Hadoop,SeenTemplate
Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@7317849d,Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@<*>,Hadoop,SeenTemplate
"Thread Thread[eventHandlingThread,5,main] threw an Exception.","Thread Thread[eventHandlingThread,<*>,main] threw an Exception.",Hadoop,SeenTemplate
